bin_center_deg,bin_start_deg,bin_end_deg,total_n,case_n,risk,risk_ci_low,risk_ci_high,risk_smooth_ma3
7.5,0.0,15.0,14,2,0.14285714285714285,0.040093073737921175,0.39941907763863693,0.3571428571428571
22.5,15.0,30.0,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,0.28138528138528135
37.5,30.0,45.0,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463,0.27080327080327077
52.5,45.0,60.0,9,1,0.1111111111111111,0.019890371327130507,0.4350062147680602,0.20486920486920485
67.5,60.0,75.0,13,3,0.23076923076923078,0.08179379092465713,0.5025687399512693,0.1853886853886854
82.5,75.0,90.0,14,3,0.21428571428571427,0.07571248336916367,0.4758972377320828,0.24358974358974358
97.5,90.0,105.0,14,4,0.2857142857142857,0.11721187910109096,0.5464954117248438,0.24603174603174602
112.5,105.0,120.0,21,5,0.23809523809523808,0.10627856389112261,0.45091581972345923,0.32275132275132273
127.5,120.0,135.0,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,0.3184223184223184
142.5,135.0,150.0,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463,0.28667628667628664
157.5,150.0,165.0,7,1,0.14285714285714285,0.02567895594897482,0.5131345033190299,0.23852813852813848
172.5,165.0,180.0,10,3,0.3,0.10778928748621183,0.6032267800204347,0.2587301587301587
187.5,180.0,195.0,12,4,0.3333333333333333,0.13811783989736132,0.6093824126023861,0.2944444444444444
202.5,195.0,210.0,16,4,0.25,0.10181901984237346,0.49498768929398645,0.26111111111111107
217.5,210.0,225.0,15,3,0.2,0.07047420643610411,0.4518593533465045,0.25
232.5,225.0,240.0,10,3,0.3,0.10778928748621183,0.6032267800204347,0.31481481481481477
247.5,240.0,255.0,18,8,0.4444444444444444,0.24559231101389126,0.6628393057174837,0.2737891737891738
262.5,255.0,270.0,13,1,0.07692307692307693,0.013710066379696323,0.3331453392824736,0.2571225071225071
277.5,270.0,285.0,12,3,0.25,0.08894003962896138,0.53231033912066,0.21153846153846154
292.5,285.0,300.0,13,4,0.3076923076923077,0.1268049716161809,0.5763111218666236,0.28846153846153844
307.5,300.0,315.0,26,8,0.3076923076923077,0.16501120939792674,0.49988611514231246,0.2717948717948718
322.5,315.0,330.0,10,2,0.2,0.056680947980693314,0.5098431532792765,0.3247863247863248
337.5,330.0,345.0,15,7,0.4666666666666667,0.24809225259746442,0.6988336984894921,0.38888888888888884
352.5,345.0,360.0,14,7,0.5,0.2679886791947528,0.7320113208052472,0.3698412698412698
