analysis_level,disease,stratum,metric,level,window_deg,exposure_n,case_n,risk,baseline_risk,rr,rr_ci_low,rr_ci_high,ci_excludes_1
overall_category,acute flare-up of triaditis/chronic enteropathy,overall,moon_category,full,,38,12,0.3157894736842105,0.28343949044585987,1.114133648728563,0.568543869362522,2.007090726304566,False
overall_category,acute flare-up of triaditis/chronic enteropathy,overall,moon_category,new,,45,18,0.4,0.28343949044585987,1.41123595505618,0.8050921014403258,2.307052199671623,False
overall_category,acute flare-up of triaditis/chronic enteropathy,overall,moon_category,waning,,123,32,0.2601626016260163,0.28343949044585987,0.9178770439389788,0.5682052016146966,1.4554198756026249,False
overall_category,acute flare-up of triaditis/chronic enteropathy,overall,moon_category,waxing,,108,27,0.25,0.28343949044585987,0.8820224719101124,0.5299138407776217,1.435011929601501,False
overall_window,acute flare-up of triaditis/chronic enteropathy,overall,near_full,yes,15.0,22,7,0.3181818181818182,0.28343949044585987,1.1225740551583248,0.4873922246194331,2.2281056292911186,False
overall_window,acute flare-up of triaditis/chronic enteropathy,overall,near_full,yes,30.0,45,12,0.26666666666666666,0.28343949044585987,0.9408239700374532,0.4756057600409328,1.7356948031040558,False
overall_window,acute flare-up of triaditis/chronic enteropathy,overall,near_new,yes,15.0,28,9,0.32142857142857145,0.28343949044585987,1.1340288924558588,0.5342433370862072,2.142660501421639,False
overall_window,acute flare-up of triaditis/chronic enteropathy,overall,near_new,yes,30.0,50,19,0.38,0.28343949044585987,1.340674157303371,0.7704724740842757,2.192918471068961,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_intact,moon_category,full,,2,0,0.0,0.10256410256410256,0.0,0.0,16.192687665264714,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_intact,moon_category,new,,4,0,0.0,0.10256410256410256,0.0,0.0,12.06274284143674,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_intact,moon_category,waning,,22,3,0.13636363636363635,0.10256410256410256,1.3295454545454546,0.20140316811999542,8.208133991989103,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_intact,moon_category,waxing,,11,1,0.09090909090909091,0.10256410256410256,0.8863636363636365,0.06883940376244486,9.291798826506035,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_neutered,moon_category,full,,11,7,0.6363636363636364,0.37894736842105264,1.6792929292929293,0.7379868927315865,2.946676058337178,False
