lab_key,source_column,state_column,state,count,pct
albumin,Albumin concentration (in g/l),albumin_state,increased,46,14.603174603174603
albumin,Albumin concentration (in g/l),albumin_state,lower_limit,82,26.03174603174603
albumin,Albumin concentration (in g/l),albumin_state,physiological,138,43.80952380952381
albumin,Albumin concentration (in g/l),albumin_state,upper_limit,49,15.555555555555555
bun,BUN concentration,bun_state,increased,121,38.41269841269841
bun,BUN concentration,bun_state,lower_limit,83,26.349206349206348
bun,BUN concentration,bun_state,physiological,66,20.952380952380953
bun,BUN concentration,bun_state,upper_limit,45,14.285714285714286
creatinine,CREA concentration ,creatinine_state,increased,92,29.206349206349206
creatinine,CREA concentration ,creatinine_state,lower_limit,94,29.841269841269842
creatinine,CREA concentration ,creatinine_state,physiological,65,20.634920634920636
creatinine,CREA concentration ,creatinine_state,upper_limit,64,20.317460317460316
hematocrit,initial hematocrit,hematocrit_state,increased,20,6.349206349206349
hematocrit,initial hematocrit,hematocrit_state,lower_limit,147,46.666666666666664
hematocrit,initial hematocrit,hematocrit_state,physiological,90,28.571428571428573
hematocrit,initial hematocrit,hematocrit_state,upper_limit,58,18.41269841269841
leukocyte,leukocyte count,leukocyte_state,increased,51,16.19047619047619
leukocyte,leukocyte count,leukocyte_state,lower_limit,98,31.11111111111111
leukocyte,leukocyte count,leukocyte_state,physiological,125,39.682539682539684
leukocyte,leukocyte count,leukocyte_state,upper_limit,41,13.015873015873016
lymphocyte,lymphocyte count,lymphocyte_state,increased,21,6.666666666666667
lymphocyte,lymphocyte count,lymphocyte_state,lower_limit,242,76.82539682539682
lymphocyte,lymphocyte count,lymphocyte_state,physiological,37,11.746031746031745
lymphocyte,lymphocyte count,lymphocyte_state,upper_limit,15,4.761904761904762
neutrophil,neutrophil count (x 10^9/L),neutrophil_state,increased,68,21.58730158730159
neutrophil,neutrophil count (x 10^9/L),neutrophil_state,lower_limit,102,32.38095238095238
neutrophil,neutrophil count (x 10^9/L),neutrophil_state,physiological,113,35.87301587301587
neutrophil,neutrophil count (x 10^9/L),neutrophil_state,upper_limit,32,10.158730158730158
serum_cl,Cl value,serum_cl_state,increased,87,27.61904761904762
serum_cl,Cl value,serum_cl_state,lower_limit,60,19.047619047619047
serum_cl,Cl value,serum_cl_state,physiological,55,17.46031746031746
serum_cl,Cl value,serum_cl_state,upper_limit,113,35.87301587301587
serum_k,K value,serum_k_state,increased,18,5.714285714285714
serum_k,K value,serum_k_state,lower_limit,162,51.42857142857143
serum_k,K value,serum_k_state,physiological,107,33.96825396825397
serum_k,K value,serum_k_state,upper_limit,28,8.88888888888889
serum_na,Na value,serum_na_state,increased,13,4.126984126984127
serum_na,Na value,serum_na_state,lower_limit,148,46.98412698412698
serum_na,Na value,serum_na_state,physiological,110,34.92063492063492
serum_na,Na value,serum_na_state,upper_limit,44,13.968253968253968
total_protein,Initial total protein concentration (in g/l),total_protein_state,increased,67,21.26984126984127
total_protein,Initial total protein concentration (in g/l),total_protein_state,lower_limit,64,20.317460317460316
total_protein,Initial total protein concentration (in g/l),total_protein_state,physiological,63,20.0
total_protein,Initial total protein concentration (in g/l),total_protein_state,upper_limit,121,38.41269841269841
