bin_center_deg,bin_start_deg,bin_end_deg,total_n,case_n,risk,risk_ci_low,risk_ci_high,risk_smooth_ma3
7.5,0.0,15.0,14,3,0.21428571428571427,0.07571248336916367,0.4758972377320828,0.19047619047619047
22.5,15.0,30.0,7,1,0.14285714285714285,0.02567895594897482,0.5131345033190299,0.20995670995670992
37.5,30.0,45.0,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463,0.2496392496392496
52.5,45.0,60.0,9,3,0.3333333333333333,0.12058159868274287,0.6458026525009103,0.25330225330225326
67.5,60.0,75.0,13,2,0.15384615384615385,0.04325726318273798,0.4223517050863101,0.28144078144078144
82.5,75.0,90.0,14,5,0.35714285714285715,0.16344490737202733,0.6123599531785959,0.24175824175824176
97.5,90.0,105.0,14,3,0.21428571428571427,0.07571248336916367,0.4758972377320828,0.2662337662337662
112.5,105.0,120.0,22,5,0.22727272727272727,0.1012289079482036,0.4344035606295935,0.1842231842231842
127.5,120.0,135.0,9,1,0.1111111111111111,0.019890371327130507,0.4350062147680602,0.14309764309764308
142.5,135.0,150.0,11,1,0.09090909090909091,0.01623175226282597,0.3773646254862038,0.2101972101972102
157.5,150.0,165.0,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,0.17316017316017315
172.5,165.0,180.0,10,0,0.0,0.0,0.2775401687666166,0.28174603174603174
187.5,180.0,195.0,12,5,0.4166666666666667,0.19325746190524654,0.6804926643446272,0.18055555555555555
202.5,195.0,210.0,16,2,0.125,0.034976749337057134,0.3602333143674828,0.225
217.5,210.0,225.0,15,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,0.1861111111111111
232.5,225.0,240.0,10,3,0.3,0.10778928748621183,0.6032267800204347,0.18148148148148147
247.5,240.0,255.0,18,2,0.1111111111111111,0.031018868453582787,0.3280024486660421,0.1883190883190883
262.5,255.0,270.0,13,2,0.15384615384615385,0.04325726318273798,0.4223517050863101,0.14387464387464385
277.5,270.0,285.0,12,2,0.16666666666666666,0.04696414761482223,0.44803635738467273,0.13247863247863248
292.5,285.0,300.0,13,1,0.07692307692307693,0.013710066379696323,0.3331453392824736,0.13247863247863248
307.5,300.0,315.0,26,4,0.15384615384615385,0.06149933998929477,0.33531584418313565,0.1435897435897436
322.5,315.0,330.0,10,2,0.2,0.056680947980693314,0.5098431532792765,0.1623931623931624
337.5,330.0,345.0,15,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,0.18253968253968253
352.5,345.0,360.0,14,3,0.21428571428571427,0.07571248336916367,0.4758972377320828,0.18730158730158727
