bin_center_deg,bin_start_deg,bin_end_deg,total_n,case_n,risk,risk_ci_low,risk_ci_high,risk_smooth_ma3
7.5,0.0,15.0,14,8,0.5714285714285714,0.3259026690286936,0.7861949006959948,0.3333333333333333
22.5,15.0,30.0,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,0.4242424242424242
37.5,30.0,45.0,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463,0.3819143819143819
52.5,45.0,60.0,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,0.4185444185444185
67.5,60.0,75.0,13,7,0.5384615384615384,0.2914343243183205,0.7679424569851186,0.42287342287342283
82.5,75.0,90.0,14,4,0.2857142857142857,0.11721187910109096,0.5464954117248438,0.39377289377289376
97.5,90.0,105.0,14,5,0.35714285714285715,0.16344490737202733,0.6123599531785959,0.27489177489177485
112.5,105.0,120.0,22,4,0.18181818181818182,0.07306766024105121,0.38517021976637866,0.32780182780182776
127.5,120.0,135.0,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,0.3905723905723905
142.5,135.0,150.0,11,6,0.5454545454545454,0.2800877556899882,0.7872904245601194,0.3775853775853775
157.5,150.0,165.0,7,1,0.14285714285714285,0.02567895594897482,0.5131345033190299,0.39610389610389607
172.5,165.0,180.0,10,5,0.5,0.23658959361548731,0.7634104063845126,0.2698412698412698
187.5,180.0,195.0,12,2,0.16666666666666666,0.04696414761482223,0.44803635738467273,0.4097222222222222
202.5,195.0,210.0,16,9,0.5625,0.33178195606776517,0.7690163666481448,0.42083333333333334
217.5,210.0,225.0,15,8,0.5333333333333333,0.3011663015105079,0.7519077474025355,0.4986111111111111
232.5,225.0,240.0,10,4,0.4,0.16817758120350962,0.6873304525498136,0.44074074074074077
247.5,240.0,255.0,18,7,0.3888888888888889,0.2030499192693116,0.6138133141934384,0.4424501424501424
262.5,255.0,270.0,13,7,0.5384615384615384,0.2914343243183205,0.7679424569851186,0.448005698005698
277.5,270.0,285.0,12,5,0.4166666666666667,0.19325746190524654,0.6804926643446272,0.4722222222222222
292.5,285.0,300.0,13,6,0.46153846153846156,0.2320575430148814,0.7085656756816796,0.4465811965811966
307.5,300.0,315.0,26,12,0.46153846153846156,0.28755582695234905,0.6454236379556988,0.44102564102564107
322.5,315.0,330.0,10,4,0.4,0.16817758120350962,0.6873304525498136,0.4205128205128206
337.5,330.0,345.0,15,6,0.4,0.1982422808259466,0.642535572434923,0.26666666666666666
352.5,345.0,360.0,14,0,0.0,0.0,0.21531701192718142,0.32380952380952377
