disease,level,exposure_n,case_n,risk,baseline_risk,total_cases,total_n,risk_ratio,rr_ci_low,rr_ci_high
acute flare-up of triaditis/chronic enteropathy,new,45,18,0.4,0.2857142857142857,90,315,1.4000000000000001,0.9332850384387936,1.8398358525079426
acute flare-up of triaditis/chronic enteropathy,waxing,109,28,0.25688073394495414,0.2857142857142857,90,315,0.8990825688073395,0.6617415672562731,1.1457373803357733
acute flare-up of triaditis/chronic enteropathy,full,38,12,0.3157894736842105,0.2857142857142857,90,315,1.105263157894737,0.622183908045977,1.620558785529715
acute flare-up of triaditis/chronic enteropathy,waning,123,32,0.2601626016260163,0.2857142857142857,90,315,0.9105691056910571,0.6890529537193552,1.1358400786888532
acute gastroenteritis,new,45,7,0.15555555555555556,0.19047619047619047,60,315,0.8166666666666668,0.2954868052778888,1.3672469429347822
acute gastroenteritis,waxing,109,26,0.23853211009174313,0.19047619047619047,60,315,1.2522935779816515,0.9434221041282443,1.6076869630039248
acute gastroenteritis,full,38,7,0.18421052631578946,0.19047619047619047,60,315,0.9671052631578947,0.37630490683349005,1.5803116508152173
acute gastroenteritis,waning,123,20,0.16260162601626016,0.19047619047619047,60,315,0.8536585365853658,0.5785123966942148,1.1533365638504298
acute pancreatitis,new,45,15,0.3333333333333333,0.39365079365079364,124,315,0.8467741935483871,0.5010604453870626,1.1728781181217902
acute pancreatitis,waxing,109,39,0.3577981651376147,0.39365079365079364,124,315,0.908922758212489,0.7211265825567081,1.0883862127659572
acute pancreatitis,full,38,14,0.3684210526315789,0.39365079365079364,124,315,0.9359083191850593,0.5781915798174795,1.318869565217391
acute pancreatitis,waning,123,56,0.45528455284552843,0.39365079365079364,124,315,1.156569630212431,0.9819857560885155,1.3270544638952235
parvovirus enteritis,new,45,5,0.1111111111111111,0.13015873015873017,41,315,0.8536585365853657,0.2133822985957132,1.5715950665188465
parvovirus enteritis,waxing,109,16,0.14678899082568808,0.13015873015873017,41,315,1.1277690758558963,0.7343855715347761,1.5561869833772364
parvovirus enteritis,full,38,5,0.13157894736842105,0.13015873015873017,41,315,1.0109114249037225,0.24193548387096775,1.892321867321865
parvovirus enteritis,waning,123,15,0.12195121951219512,0.13015873015873017,41,315,0.9369422962522307,0.5955757231990924,1.3034860927329939
