disease,sex_neuter,level,exposure_n,case_n,risk,baseline_risk,total_cases,total_n,risk_ratio,rr_ci_low,rr_ci_high
acute flare-up of triaditis/chronic enteropathy,female_intact,new,4,0,0.0,0.10256410256410256,4,39,0.0,0.0,0.0
acute flare-up of triaditis/chronic enteropathy,female_intact,waxing,11,1,0.09090909090909091,0.10256410256410256,4,39,0.8863636363636365,0.0,3.0000000000000004
acute flare-up of triaditis/chronic enteropathy,female_intact,full,2,0,0.0,0.10256410256410256,4,39,0.0,0.0,0.0
acute flare-up of triaditis/chronic enteropathy,female_intact,waning,22,3,0.13636363636363635,0.10256410256410256,4,39,1.3295454545454546,0.0,2.1666666666666665
acute flare-up of triaditis/chronic enteropathy,female_neutered,new,12,5,0.4166666666666667,0.37894736842105264,36,95,1.099537037037037,0.40587561663143057,1.8627450980392155
acute flare-up of triaditis/chronic enteropathy,female_neutered,waxing,36,12,0.3333333333333333,0.37894736842105264,36,95,0.8796296296296295,0.5428184778184778,1.209747045432529
acute flare-up of triaditis/chronic enteropathy,female_neutered,full,11,7,0.6363636363636364,0.37894736842105264,36,95,1.6792929292929293,0.9041946559187939,2.544642857142857
acute flare-up of triaditis/chronic enteropathy,female_neutered,waning,36,12,0.3333333333333333,0.37894736842105264,36,95,0.8796296296296295,0.5396712662337662,1.210817736185383
acute flare-up of triaditis/chronic enteropathy,male_intact,new,7,2,0.2857142857142857,0.1568627450980392,8,51,1.8214285714285714,0.0,4.371428571428571
acute flare-up of triaditis/chronic enteropathy,male_intact,waxing,20,3,0.15,0.1568627450980392,8,51,0.9562499999999999,0.0,1.9615384615384617
acute flare-up of triaditis/chronic enteropathy,male_intact,full,5,1,0.2,0.1568627450980392,8,51,1.2750000000000001,0.0,4.25
acute flare-up of triaditis/chronic enteropathy,male_intact,waning,19,2,0.10526315789473684,0.1568627450980392,8,51,0.6710526315789473,0.0,1.5454545454545454
acute flare-up of triaditis/chronic enteropathy,male_neutered,new,22,11,0.5,0.32558139534883723,42,129,1.5357142857142856,0.9613423050379573,2.206763443935926
acute flare-up of triaditis/chronic enteropathy,male_neutered,waxing,41,12,0.2926829268292683,0.32558139534883723,42,129,0.8989547038327524,0.5249184782608696,1.2678337746272528
acute flare-up of triaditis/chronic enteropathy,male_neutered,full,20,4,0.2,0.32558139534883723,42,129,0.6142857142857143,0.1465094696969697,1.166818181818181
acute flare-up of triaditis/chronic enteropathy,male_neutered,waning,46,15,0.32608695652173914,0.32558139534883723,42,129,1.0015527950310559,0.6529932571680106,1.3698347272533558
acute gastroenteritis,female_intact,new,4,0,0.0,0.2564102564102564,10,39,0.0,0.0,0.0
acute gastroenteritis,female_intact,waxing,11,5,0.45454545454545453,0.2564102564102564,10,39,1.772727272727273,0.7878787878787878,3.1022727272727275
acute gastroenteritis,female_intact,full,2,2,1.0,0.2564102564102564,10,39,3.9000000000000004,2.4375,7.800000000000001
acute gastroenteritis,female_intact,waning,22,3,0.13636363636363635,0.2564102564102564,10,39,0.5318181818181819,0.0,0.9972301136363634
acute gastroenteritis,female_neutered,new,12,2,0.16666666666666666,0.15789473684210525,15,95,1.0555555555555556,0.0,2.6103868017795326
acute gastroenteritis,female_neutered,waxing,36,5,0.1388888888888889,0.15789473684210525,15,95,0.8796296296296298,0.2638888888888889,1.532258064516129
acute gastroenteritis,female_neutered,full,11,1,0.09090909090909091,0.15789473684210525,15,95,0.5757575757575758,0.0,1.7598090277777747
acute gastroenteritis,female_neutered,waning,36,7,0.19444444444444445,0.15789473684210525,15,95,1.2314814814814816,0.59375,1.9256756756756757
acute gastroenteritis,male_intact,new,7,1,0.14285714285714285,0.2549019607843137,13,51,0.5604395604395604,0.0,1.8214285714285714
acute gastroenteritis,male_intact,waxing,20,5,0.25,0.2549019607843137,13,51,0.9807692307692308,0.30357142857142855,1.6190476190476188
acute gastroenteritis,male_intact,full,5,2,0.4,0.2549019607843137,13,51,1.5692307692307694,0.0,3.9230769230769234
acute gastroenteritis,male_intact,waning,19,5,0.2631578947368421,0.2549019607843137,13,51,1.0323886639676114,0.425,1.7
