disease,indicator,level,exposure_n,case_n,risk,baseline_risk,total_cases,total_n,risk_ratio,rr_ci_low,rr_ci_high
acute flare-up of triaditis/chronic enteropathy,isfullmoon,0,277,78,0.2815884476534296,0.2857142857142857,90,315,0.9855595667870036,0.9169591071458365,1.046154891304348
acute flare-up of triaditis/chronic enteropathy,isfullmoon,1,38,12,0.3157894736842105,0.2857142857142857,90,315,1.105263157894737,0.6206265769554248,1.6289680527383368
acute flare-up of triaditis/chronic enteropathy,isnewmoon,0,270,72,0.26666666666666666,0.2857142857142857,90,315,0.9333333333333333,0.8495899838075411,1.0086124539492378
acute flare-up of triaditis/chronic enteropathy,isnewmoon,1,45,18,0.4,0.2857142857142857,90,315,1.4000000000000001,0.9408992855616456,1.8966216972682486
acute gastroenteritis,isfullmoon,0,277,53,0.19133574007220217,0.19047619047619047,60,315,1.0045126353790614,0.9171006669960474,1.0833179371119828
acute gastroenteritis,isfullmoon,1,38,7,0.18421052631578946,0.19047619047619047,60,315,0.9671052631578947,0.3481673690749526,1.563739915874062
acute gastroenteritis,isnewmoon,0,270,53,0.1962962962962963,0.19047619047619047,60,315,1.0305555555555557,0.9359304957966124,1.1162658850910512
acute gastroenteritis,isnewmoon,1,45,7,0.15555555555555556,0.19047619047619047,60,315,0.8166666666666668,0.31904127723372355,1.4006526122669478
acute pancreatitis,isfullmoon,0,277,110,0.3971119133574007,0.39365079365079364,124,315,1.00879236054501,0.9574461410584546,1.059562715933871
acute pancreatitis,isfullmoon,1,38,14,0.3684210526315789,0.39365079365079364,124,315,0.9359083191850593,0.5647980978979376,1.3282607787433147
acute pancreatitis,isnewmoon,0,270,109,0.40370370370370373,0.39365079365079364,124,315,1.0255376344086022,0.9706643317503393,1.0826009626955475
acute pancreatitis,isnewmoon,1,45,15,0.3333333333333333,0.39365079365079364,124,315,0.8467741935483871,0.530498452012384,1.1862691501198217
parvovirus enteritis,isfullmoon,0,277,36,0.1299638989169675,0.13015873015873017,41,315,0.998503125825482,0.884455049107703,1.1000044722719142
parvovirus enteritis,isfullmoon,1,38,5,0.13157894736842105,0.13015873015873017,41,315,1.0109114249037225,0.25235368640699524,1.8240591397849448
parvovirus enteritis,isnewmoon,0,270,36,0.13333333333333333,0.13015873015873017,41,315,1.024390243902439,0.9089845590669238,1.1298502881382735
parvovirus enteritis,isnewmoon,1,45,5,0.1111111111111111,0.13015873015873017,41,315,0.8536585365853657,0.22053090986914514,1.5962837837837838
