disease,window_indicator,window_days,level,exposure_n,case_n,risk,baseline_risk,total_cases,total_n,risk_ratio,rr_ci_low,rr_ci_high
acute flare-up of triaditis/chronic enteropathy,nearfullwindow,2,0,274,77,0.28102189781021897,0.2857142857142857,90,315,0.9835766423357665,0.9122311002439295,1.0538835493006091
acute flare-up of triaditis/chronic enteropathy,nearfullwindow,2,1,41,13,0.3170731707317073,0.2857142857142857,90,315,1.1097560975609757,0.6009300476947537,1.5974907793410058
acute flare-up of triaditis/chronic enteropathy,nearnewwindow,2,0,268,72,0.26865671641791045,0.2857142857142857,90,315,0.9402985074626866,0.8547724023881232,1.0170699220909212
acute flare-up of triaditis/chronic enteropathy,nearnewwindow,2,1,47,18,0.3829787234042553,0.2857142857142857,90,315,1.3404255319148937,0.8965419883129206,1.812758575297126
acute gastroenteritis,nearfullwindow,2,0,274,52,0.1897810218978102,0.19047619047619047,60,315,0.9963503649635036,0.9030544310210163,1.07940869930531
acute gastroenteritis,nearfullwindow,2,1,41,8,0.1951219512195122,0.19047619047619047,60,315,1.024390243902439,0.46140329461348684,1.6509500532562384
acute gastroenteritis,nearnewwindow,2,0,268,52,0.19402985074626866,0.19047619047619047,60,315,1.0186567164179106,0.9236029029140648,1.1089987880764665
acute gastroenteritis,nearnewwindow,2,1,47,8,0.1702127659574468,0.19047619047619047,60,315,0.8936170212765958,0.35712769827795293,1.4555396234721465
acute pancreatitis,nearfullwindow,2,0,274,109,0.3978102189781022,0.39365079365079364,124,315,1.0105662820814694,0.9577068669436907,1.0620921662400273
acute pancreatitis,nearfullwindow,2,1,41,15,0.36585365853658536,0.39365079365079364,124,315,0.9293863099921322,0.5878424330155956,1.2890242608475173
acute pancreatitis,nearnewwindow,2,0,268,109,0.40671641791044777,0.39365079365079364,124,315,1.0331909003370245,0.9778317560169002,1.091110509363962
acute pancreatitis,nearnewwindow,2,1,47,15,0.3191489361702128,0.39365079365079364,124,315,0.8107412491420728,0.49593470705064546,1.1378105310762336
parvovirus enteritis,nearfullwindow,2,0,274,36,0.13138686131386862,0.13015873015873017,41,315,1.0094356418016734,0.8941605839416059,1.1144976837236902
parvovirus enteritis,nearfullwindow,2,1,41,5,0.12195121951219512,0.13015873015873017,41,315,0.9369422962522307,0.22398851644567677,1.7765157378740957
parvovirus enteritis,nearnewwindow,2,0,268,35,0.13059701492537312,0.13015873015873017,41,315,1.0033673097925007,0.8717712177121771,1.1143908997312926
parvovirus enteritis,nearnewwindow,2,1,47,6,0.1276595744680851,0.13015873015873017,41,315,0.9807991696938244,0.31818181818181823,1.7414175153145741
