model,disease,feature_block,n_folds,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_mean_pm_std,recall_mean,recall_std,recall_mean_pm_std,precision_mean,precision_std,precision_mean_pm_std,f1_mean,f1_std,f1_mean_pm_std,roc_auc_mean,roc_auc_std,roc_auc_mean_pm_std
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,5,0.5755555555555555,0.03108133495710965,0.5756 ± 0.0311,0.31111111111111106,0.06334307917217434,0.3111 ± 0.0633,0.43892857142857145,0.06258157941145823,0.4389 ± 0.0626,0.3619957983193277,0.05838297283319882,0.3620 ± 0.0584,0.6454320987654321,0.0675941428313122,0.6454 ± 0.0676
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,5,0.5055555555555555,0.04795187917120018,0.5056 ± 0.0480,0.18888888888888888,0.06334307917217434,0.1889 ± 0.0633,0.3013752913752914,0.09969451985263604,0.3014 ± 0.0997,0.2318819852746438,0.07703666467014564,0.2319 ± 0.0770,0.5777777777777778,0.06250133362393652,0.5778 ± 0.0625
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,5,0.49444444444444446,0.057868518488887945,0.4944 ± 0.0579,0.16666666666666666,0.11785113019775792,0.1667 ± 0.1179,0.2502747252747253,0.13825397620670493,0.2503 ± 0.1383,0.1979168734491315,0.13044076515786623,0.1979 ± 0.1304,0.5074074074074074,0.07435645763655822,0.5074 ± 0.0744
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,5,0.7857843137254902,0.078767661402959,0.7858 ± 0.0788,0.5833333333333333,0.16666666666666669,0.5833 ± 0.1667,0.9333333333333333,0.09128709291752767,0.9333 ± 0.0913,0.7044444444444444,0.11265592760565847,0.7044 ± 0.1127,0.8444444444444444,0.05842959962802842,0.8444 ± 0.0584
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,combined,5,0.7970588235294118,0.0833585601954734,0.7971 ± 0.0834,0.6333333333333333,0.17280367794439763,0.6333 ± 0.1728,0.7952380952380953,0.08591980065221813,0.7952 ± 0.0859,0.6955465587044534,0.10887739020844199,0.6955 ± 0.1089,0.8911764705882351,0.040349883753065495,0.8912 ± 0.0403
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,5,0.5377450980392157,0.03571205435990977,0.5377 ± 0.0357,0.14999999999999997,0.06972166887783963,0.1500 ± 0.0697,0.3123809523809523,0.10825350276863102,0.3124 ± 0.1083,0.20171998624011006,0.08469935978882064,0.2017 ± 0.0847,0.5962418300653594,0.04703711713436726,0.5962 ± 0.0470
hist_gb_binary_acute_pancreatitis,acute pancreatitis,clinical_only,5,0.5852712550607289,0.08716300853690556,0.5853 ± 0.0872,0.45866666666666667,0.1800246896647482,0.4587 ± 0.1800,0.5035773341399474,0.08503581704467676,0.5036 ± 0.0850,0.47221905465807906,0.1264502356458547,0.4722 ± 0.1265,0.6517840755735492,0.0838005209638981,0.6518 ± 0.0838
hist_gb_binary_acute_pancreatitis,acute pancreatitis,combined,5,0.5588063427800269,0.03947199729373534,0.5588 ± 0.0395,0.4109999999999999,0.07486654793697918,0.4110 ± 0.0749,0.4752923976608187,0.048495278165790676,0.4753 ± 0.0485,0.439511658201133,0.0614020680755095,0.4395 ± 0.0614,0.628591542959964,0.05422463959996889,0.6286 ± 0.0542
hist_gb_binary_acute_pancreatitis,acute pancreatitis,environmental_only,5,0.4830587044534413,0.06982622545444912,0.4831 ± 0.0698,0.30633333333333335,0.09574561202594206,0.3063 ± 0.0957,0.3670556826849733,0.10376889082676585,0.3671 ± 0.1038,0.33348484848484844,0.0982955315842779,0.3335 ± 0.0983,0.47760548807917225,0.0654279619932476,0.4776 ± 0.0654
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,5,0.8547979797979798,0.0583329917126732,0.8548 ± 0.0583,0.7277777777777777,0.10962548478150617,0.7278 ± 0.1096,0.8642857142857142,0.13458174058154837,0.8643 ± 0.1346,0.7854147812971343,0.10011452962058841,0.7854 ± 0.1001,0.9566647961092405,0.038052361615620554,0.9567 ± 0.0381
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,combined,5,0.8547979797979798,0.05584484768588674,0.8548 ± 0.0558,0.7277777777777777,0.10962548478150617,0.7278 ± 0.1096,0.8666666666666668,0.12638125740085918,0.8667 ± 0.1264,0.7849385908209439,0.08956875843883352,0.7849 ± 0.0896,0.9597979797979799,0.017642824553878975,0.9598 ± 0.0176
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,5,0.5647222222222222,0.03326566152675416,0.5647 ± 0.0333,0.16944444444444445,0.061645391725478185,0.1694 ± 0.0616,0.45,0.3095695936834452,0.4500 ± 0.3096,0.23593073593073594,0.08579186659136975,0.2359 ± 0.0858,0.6200430228208005,0.09415458707102396,0.6200 ± 0.0942
