model,feature_block,fold,class_label,precision,recall,f1,support
random_forest,clinical_only,1,acute flare-up of triaditis/chronic enteropathy,0.5714285714285714,0.2222222222222222,0.32,18
random_forest,clinical_only,1,acute gastroenteritis,0.7,0.5833333333333334,0.6363636363636364,12
random_forest,clinical_only,1,acute pancreatitis,0.5121951219512195,0.84,0.6363636363636364,25
random_forest,clinical_only,1,parvovirus enteritis,0.8,0.5,0.6153846153846154,8
random_forest,clinical_only,2,acute flare-up of triaditis/chronic enteropathy,0.625,0.2777777777777778,0.38461538461538464,18
random_forest,clinical_only,2,acute gastroenteritis,0.5,0.5,0.5,12
random_forest,clinical_only,2,acute pancreatitis,0.5945945945945946,0.88,0.7096774193548387,25
random_forest,clinical_only,2,parvovirus enteritis,0.8333333333333334,0.625,0.7142857142857143,8
random_forest,clinical_only,3,acute flare-up of triaditis/chronic enteropathy,0.2727272727272727,0.16666666666666666,0.20689655172413793,18
random_forest,clinical_only,3,acute gastroenteritis,0.5833333333333334,0.5833333333333334,0.5833333333333334,12
random_forest,clinical_only,3,acute pancreatitis,0.5,0.6,0.5454545454545454,25
random_forest,clinical_only,3,parvovirus enteritis,0.8,1.0,0.8888888888888888,8
random_forest,clinical_only,4,acute flare-up of triaditis/chronic enteropathy,0.5714285714285714,0.2222222222222222,0.32,18
random_forest,clinical_only,4,acute gastroenteritis,0.4444444444444444,0.3333333333333333,0.38095238095238093,12
random_forest,clinical_only,4,acute pancreatitis,0.48717948717948717,0.76,0.59375,25
random_forest,clinical_only,4,parvovirus enteritis,0.625,0.625,0.625,8
random_forest,clinical_only,5,acute flare-up of triaditis/chronic enteropathy,0.375,0.16666666666666666,0.23076923076923078,18
random_forest,clinical_only,5,acute gastroenteritis,0.42857142857142855,0.5,0.46153846153846156,12
random_forest,clinical_only,5,acute pancreatitis,0.45714285714285713,0.6666666666666666,0.5423728813559322,24
random_forest,clinical_only,5,parvovirus enteritis,0.8333333333333334,0.5555555555555556,0.6666666666666666,9
logistic_ovr,clinical_only,1,acute flare-up of triaditis/chronic enteropathy,0.2631578947368421,0.2777777777777778,0.2702702702702703,18
logistic_ovr,clinical_only,1,acute gastroenteritis,0.5555555555555556,0.8333333333333334,0.6666666666666666,12
logistic_ovr,clinical_only,1,acute pancreatitis,0.5263157894736842,0.4,0.45454545454545453,25
logistic_ovr,clinical_only,1,parvovirus enteritis,0.8571428571428571,0.75,0.8,8
