__month,temperature_2m_mean__day1,shortwave_radiation_sum__day1,uv_index_max__day1,wind_speed_10m_max__day1,precipitation_sum__day1
Jan,1.8214285714285714,2.894642857142857,0.5674285714285714,18.567857142857143,1.4535714285714285
Feb,1.4941176470588236,5.731764705882353,1.2415294117647058,19.223529411764705,1.0294117647058822
Mar,5.035714285714286,10.53357142857143,2.275642857142857,19.807142857142857,1.0714285714285714
Apr,9.673076923076923,16.88346153846154,3.928423076923077,19.407692307692308,1.4538461538461538
May,14.41304347826087,19.77695652173913,5.756652173913043,15.747826086956522,2.682608695652174
Jun,19.928,21.6968,6.9852,14.8,0.868
Jul,19.9741935483871,18.11935483870968,6.7818387096774195,15.541935483870969,2.303225806451613
Aug,20.603333333333335,15.726666666666667,5.969233333333333,17.84333333333333,2.1366666666666663
Sep,14.813513513513515,11.245945945945946,3.7591891891891893,15.205405405405406,1.7621621621621621
Oct,9.942857142857141,6.0667857142857144,1.9486428571428571,20.417857142857144,3.6285714285714286
Nov,5.7407407407407405,3.3059259259259255,0.7996296296296296,16.066666666666666,0.4444444444444444
Dec,2.8551724137931034,2.163793103448276,0.4739137931034482,19.06551724137931,1.5931034482758621
