disease,feature_block,feature_name,n_folds,top10_count,top20_count,top10_frequency,top20_frequency
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__moon_phase_cos,5,0,0,0.0,0.0
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__moon_phase_sin,5,0,0,0.0,0.0
acute flare-up of triaditis/chronic enteropathy,combined,num__moon_phase_cos,5,1,3,0.2,0.6
acute flare-up of triaditis/chronic enteropathy,combined,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
acute flare-up of triaditis/chronic enteropathy,combined,num__moon_phase_sin,5,1,3,0.2,0.6
acute flare-up of triaditis/chronic enteropathy,environmental_only,num__moon_phase_cos,5,1,4,0.2,0.8
acute flare-up of triaditis/chronic enteropathy,environmental_only,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
acute flare-up of triaditis/chronic enteropathy,environmental_only,num__moon_phase_sin,5,2,5,0.4,1.0
acute gastroenteritis,clinical_only,num__moon_phase_cos,5,0,0,0.0,0.0
acute gastroenteritis,clinical_only,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
acute gastroenteritis,clinical_only,num__moon_phase_sin,5,0,0,0.0,0.0
acute gastroenteritis,combined,num__moon_phase_cos,5,0,0,0.0,0.0
acute gastroenteritis,combined,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
acute gastroenteritis,combined,num__moon_phase_sin,5,1,2,0.2,0.4
acute gastroenteritis,environmental_only,num__moon_phase_cos,5,0,4,0.0,0.8
acute gastroenteritis,environmental_only,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
acute gastroenteritis,environmental_only,num__moon_phase_sin,5,1,3,0.2,0.6
acute pancreatitis,clinical_only,num__moon_phase_cos,5,0,0,0.0,0.0
acute pancreatitis,clinical_only,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
acute pancreatitis,clinical_only,num__moon_phase_sin,5,0,0,0.0,0.0
acute pancreatitis,combined,num__moon_phase_cos,5,1,2,0.2,0.4
acute pancreatitis,combined,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
acute pancreatitis,combined,num__moon_phase_sin,5,2,4,0.4,0.8
acute pancreatitis,environmental_only,num__moon_phase_cos,5,0,1,0.0,0.2
acute pancreatitis,environmental_only,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
acute pancreatitis,environmental_only,num__moon_phase_sin,5,5,5,1.0,1.0
parvovirus enteritis,clinical_only,num__moon_phase_cos,5,0,0,0.0,0.0
parvovirus enteritis,clinical_only,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
parvovirus enteritis,clinical_only,num__moon_phase_sin,5,0,0,0.0,0.0
parvovirus enteritis,combined,num__moon_phase_cos,5,0,2,0.0,0.4
parvovirus enteritis,combined,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
parvovirus enteritis,combined,num__moon_phase_sin,5,0,2,0.0,0.4
parvovirus enteritis,environmental_only,num__moon_phase_cos,5,0,2,0.0,0.4
parvovirus enteritis,environmental_only,num__moon_phase_fraction_illuminated,5,0,0,0.0,0.0
parvovirus enteritis,environmental_only,num__moon_phase_sin,5,0,2,0.0,0.4
