,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
temperature_2m_max__day1,0.11395696029931864,-0.002931488985529029,0.0033247379952157847,0.012215971312822088,-0.005266439182825694,-0.03235614761042643,0.02236168742241852,-0.08191077041641893,0.11364684557787612,0.054318748870039055,-0.057699008414981656,0.04874760593986962,0.029374891736102467,0.030893670321162404,0.11077135633954187,0.01026544210651577,0.06684199227676274,0.02733619068492648,-0.049137997312872855,-0.0305128518370403
temperature_2m_max__mean_2d,0.11569841472540876,0.0015697818600872967,0.004361117938789281,0.01989831168964929,0.015377302948465389,-0.03797304254655798,0.022128337827276696,-0.07244127846440634,0.10054436569237848,0.06393189863845568,-0.03980915044492201,0.02512577871237002,0.029355991760308564,0.03951886427487392,0.10088721916433507,0.010077289366743864,0.07536705785399689,-0.010749360713468608,-0.0005891778701178183,-0.013083334037171879
temperature_2m_max__mean_3d,0.11664795909964618,0.005665828927670799,0.005183591028759822,0.02489716795945826,0.028632043207942832,-0.03509083629442594,0.023686296091755182,-0.061942220429731965,0.07352167989982661,0.045320866025838846,-0.027930800399689648,0.0057165202097197165,0.033889458776320436,0.02294718928987155,0.09104038172255727,-0.0012974398627224656,0.05397081318895895,-0.030615985391831045,0.01728479378961309,0.011058826980159697
temperature_2m_max__mean_7d,0.11754619695353079,0.015062905218531819,0.003822115310292057,0.03777382090666476,0.0311364312217507,-0.02413022597338005,0.02596308136873314,-0.029265984093709833,-0.033035752639483024,-0.018257992133771134,-0.009183381993252165,-0.042707591848064344,0.025045795344562145,-0.005767677937500756,0.017223599886103502,0.0061224070481939105,-0.022577070415539788,-0.016809626902111206,0.01665456501850797,0.05203310634641206
temperature_2m_max__mean_13d,0.11579777312859066,0.023594353763842668,-0.005934000447233592,0.047536229429739785,0.018362357559216114,-0.023009922530546012,0.026351975740146333,-0.01904562893285655,-0.10514758446041422,-0.038699663135156354,0.015777524204633908,-0.03358654136978244,0.027969600113950305,0.016447129207248612,-0.05989525122071265,-0.022838229010043697,-0.060921254002110514,0.03190314819876641,0.02868303880014289,0.05652507403973867
temperature_2m_max__peak_7d,0.11572896860914099,0.018470673732132264,-0.0005839599821498842,0.033482833624677855,0.0221213963532726,0.0011644184889600534,0.03028353802920101,-0.025547703317862325,-0.043805207254806466,-0.05147364371139461,-0.03304557498494036,-0.05251194170731732,0.07239277254841062,0.018495374462335998,-0.0018841405666982225,0.016940745100475423,-0.012382301806268203,0.024802010545132425,0.006472129873457244,-0.036376652096928544
temperature_2m_max__peak_14d,0.11338585069841736,0.030942772928613874,-0.00314665117392815,0.037253370121561824,0.010405137865912767,-0.016013792210780087,0.03167961120648344,-0.006363116867405748,-0.09654884962219895,-0.05052297083049412,0.015339869948827078,-0.06628328691957737,0.05325233464638727,0.016963936882384005,-0.08248810603337511,-0.016440620381927375,-0.020246303758538614,0.1337553931614051,0.044399173032459015,-0.019898671455371733
temperature_2m_min__day1,0.10857759426392974,0.04733990327380413,-0.01418813490060622,0.04447617439024376,0.03936836414700524,-0.05814623286001383,0.07027521723451755,-0.094160866282881,0.11141004124056833,0.0622914347105602,-0.026207723028947333,0.0808317658604289,-0.02777892742132001,0.010783986848852532,0.01263025782381133,0.051894818687207224,0.12372199193979594,-0.032432036812452394,0.00266375558175308,-0.0033031363157024693
temperature_2m_min__mean_2d,0.11051849192527839,0.04680620765061037,-0.011507596873881476,0.050549514294559006,0.042776064135906566,-0.06423424419266771,0.06769749725696289,-0.08330120107272357,0.08060637186726376,0.03850819188498686,-0.028934683539981743,0.05990002912925349,-0.022268819443369836,-0.02513865078162414,0.023943645011150705,0.030371534116093987,0.07999451005086641,-0.0654010612206807,0.02020875194988496,0.01901699160390559
temperature_2m_min__mean_3d,0.11175609465455542,0.047923316535617155,-0.012088818889841771,0.05603358260697522,0.039328186409624655,-0.06554005657602208,0.056101373785467784,-0.070810499929015,0.04098768611114689,0.017186762365512365,-0.022052655600810135,0.041908633119059416,-0.018937741594879903,-0.03885686089624285,0.02938833504027616,0.007884290529538887,0.026113763834502007,-0.07761418542449651,0.016451516383494208,0.031324367420980825
