disease,perm_idx,perm_mean_auc
acute flare-up of triaditis/chronic enteropathy,1,0.4704944013781224
acute flare-up of triaditis/chronic enteropathy,2,0.44809428341523255
acute flare-up of triaditis/chronic enteropathy,3,0.43405914724816846
acute flare-up of triaditis/chronic enteropathy,4,0.5287913391903161
acute flare-up of triaditis/chronic enteropathy,5,0.5388679620119473
acute flare-up of triaditis/chronic enteropathy,6,0.5156706329255349
acute flare-up of triaditis/chronic enteropathy,7,0.4876029870173474
acute flare-up of triaditis/chronic enteropathy,8,0.5151323805431388
acute flare-up of triaditis/chronic enteropathy,9,0.5668178906015555
acute flare-up of triaditis/chronic enteropathy,10,0.5051609312920199
acute flare-up of triaditis/chronic enteropathy,11,0.4202250481513056
acute flare-up of triaditis/chronic enteropathy,12,0.4772192165606488
acute flare-up of triaditis/chronic enteropathy,13,0.4304897466315272
acute flare-up of triaditis/chronic enteropathy,14,0.5223181151448408
acute flare-up of triaditis/chronic enteropathy,15,0.4726967841943625
acute flare-up of triaditis/chronic enteropathy,16,0.5431227951544506
acute flare-up of triaditis/chronic enteropathy,17,0.5401542153998199
acute flare-up of triaditis/chronic enteropathy,18,0.605321554508536
acute flare-up of triaditis/chronic enteropathy,19,0.5580246913580248
acute flare-up of triaditis/chronic enteropathy,20,0.5192782041591565
acute flare-up of triaditis/chronic enteropathy,21,0.5751236518560822
acute flare-up of triaditis/chronic enteropathy,22,0.47565236184582443
acute flare-up of triaditis/chronic enteropathy,23,0.4924872947046187
acute flare-up of triaditis/chronic enteropathy,24,0.5602054078305805
acute flare-up of triaditis/chronic enteropathy,25,0.5186901751792637
acute flare-up of triaditis/chronic enteropathy,26,0.4931483634296934
acute flare-up of triaditis/chronic enteropathy,27,0.5310846811641022
acute flare-up of triaditis/chronic enteropathy,28,0.4905830071975936
acute flare-up of triaditis/chronic enteropathy,29,0.6176343214939706
acute flare-up of triaditis/chronic enteropathy,30,0.36751426935251436
acute flare-up of triaditis/chronic enteropathy,31,0.5084541552916588
acute flare-up of triaditis/chronic enteropathy,32,0.5753631342666431
acute flare-up of triaditis/chronic enteropathy,33,0.543324691980907
acute flare-up of triaditis/chronic enteropathy,34,0.4743112471610546
acute flare-up of triaditis/chronic enteropathy,35,0.40477909563428993
acute flare-up of triaditis/chronic enteropathy,36,0.5317274301650847
acute flare-up of triaditis/chronic enteropathy,37,0.5059624511538
acute flare-up of triaditis/chronic enteropathy,38,0.5365031508663548
acute flare-up of triaditis/chronic enteropathy,39,0.5118216998608517
acute flare-up of triaditis/chronic enteropathy,40,0.5327633206392605
acute flare-up of triaditis/chronic enteropathy,41,0.6004734580971731
acute flare-up of triaditis/chronic enteropathy,42,0.3867408762180903
acute flare-up of triaditis/chronic enteropathy,43,0.38930146748848793
acute flare-up of triaditis/chronic enteropathy,44,0.5450156483821254
acute flare-up of triaditis/chronic enteropathy,45,0.5126958907072529
acute flare-up of triaditis/chronic enteropathy,46,0.5091537467700259
acute flare-up of triaditis/chronic enteropathy,47,0.5193072166824306
acute flare-up of triaditis/chronic enteropathy,48,0.46523490761527375
acute flare-up of triaditis/chronic enteropathy,49,0.49453234617978775
acute flare-up of triaditis/chronic enteropathy,50,0.4286342783489411
acute flare-up of triaditis/chronic enteropathy,51,0.5458431414894
acute flare-up of triaditis/chronic enteropathy,52,0.5508727066021899
acute flare-up of triaditis/chronic enteropathy,53,0.5464854601181132
acute flare-up of triaditis/chronic enteropathy,54,0.5583910598734552
acute flare-up of triaditis/chronic enteropathy,55,0.52036938143956
acute flare-up of triaditis/chronic enteropathy,56,0.5154059284056893
acute flare-up of triaditis/chronic enteropathy,57,0.5025284690800684
acute flare-up of triaditis/chronic enteropathy,58,0.6035815585109328
acute flare-up of triaditis/chronic enteropathy,59,0.5655879626580145
acute flare-up of triaditis/chronic enteropathy,60,0.5268898219413858
acute flare-up of triaditis/chronic enteropathy,61,0.49785577571870754
acute flare-up of triaditis/chronic enteropathy,62,0.5058617236156662
acute flare-up of triaditis/chronic enteropathy,63,0.5620033356596645
acute flare-up of triaditis/chronic enteropathy,64,0.4907587844254511
acute flare-up of triaditis/chronic enteropathy,65,0.5640459368375587
acute flare-up of triaditis/chronic enteropathy,66,0.507278885940964
acute flare-up of triaditis/chronic enteropathy,67,0.46427415881159995
