disease,feature_block,feature,mean_abs_shap,std_abs_shap,n_folds
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__neutrophil count (x 10^9/L),1.3788556254552662,0.2639789885671969,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__body weight,1.3497197438501993,0.21490570034379047,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__leukocyte count,1.24922172360195,0.2770322800994852,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__hospitalization time (days),0.9106866853081975,0.16569024193909837,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__K value,0.7479711449983301,0.1910075851629254,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__CREA concentration ,0.7239333328654516,0.21213419361966002,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__regularly dewormed_yes,0.6888117405512555,0.2695362450898775,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__lymphocyte count,0.6318660977382602,0.1700975456863562,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__neuter status_intact,0.6132236699523901,0.14338563956142011,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Na value,0.5520059461971263,0.2268798080355753,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Initial total protein concentration (in g/l),0.5500730491130834,0.1737566534672178,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__initial hematocrit,0.46856552848608457,0.17475876450592098,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__BUN concentration,0.45504734732983704,0.1429949934227063,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_decreased,0.4383211141316569,0.1572423196422722,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Albumin concentration (in g/l),0.42586115906591326,0.08727513978854046,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Cl value,0.4245521706759036,0.256980596174528,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__hematocrit interpretation_lower limit,0.2988119175685774,0.4008533846718679,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__regularly dewormed_no,0.26147598024943364,0.15352320179925508,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__hospitalization time (days)__missing,0.16488784860478028,0.051177487867071866,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__altitude (MASL),0.14585907121879482,0.08277141377788465,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__fecal examination_Missing,0.13783424361279145,0.15618725640536507,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__urban or rural region_small town,0.12144202800179311,0.07510160461723703,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_lower limit,0.11697785694043314,0.1227939413546262,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__regularly vaccinated_no,0.11617464916477875,0.09470814026780305,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__neutrophil count interpretation_upper limit,0.1147539981113966,0.18796193668787642,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_EKH,0.11245504396788986,0.05284110912245802,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__leukocyte count interpreatation_upper limit,0.10337970365532481,0.0685524170980882,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__regularly dewormed_Missing,0.09512874056933059,0.127240665808988,5
