disease,feature_block,rank_within_group,feature,mean_abs_shap,std_abs_shap
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__neutrophil count (x 10^9/L),1.3788556254552662,0.2639789885671969
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__body weight,1.3497197438501993,0.21490570034379047
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__leukocyte count,1.24922172360195,0.2770322800994852
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__hospitalization time (days),0.9106866853081975,0.16569024193909837
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__K value,0.7479711449983301,0.1910075851629254
acute flare-up of triaditis/chronic enteropathy,clinical_only,6,num__CREA concentration ,0.7239333328654516,0.21213419361966002
acute flare-up of triaditis/chronic enteropathy,clinical_only,7,cat__regularly dewormed_yes,0.6888117405512555,0.2695362450898775
acute flare-up of triaditis/chronic enteropathy,clinical_only,8,num__lymphocyte count,0.6318660977382602,0.1700975456863562
acute flare-up of triaditis/chronic enteropathy,clinical_only,9,cat__neuter status_intact,0.6132236699523901,0.14338563956142011
acute flare-up of triaditis/chronic enteropathy,clinical_only,10,num__Na value,0.5520059461971263,0.2268798080355753
acute flare-up of triaditis/chronic enteropathy,clinical_only,11,num__Initial total protein concentration (in g/l),0.5500730491130834,0.1737566534672178
acute flare-up of triaditis/chronic enteropathy,clinical_only,12,num__initial hematocrit,0.46856552848608457,0.17475876450592098
acute flare-up of triaditis/chronic enteropathy,clinical_only,13,num__BUN concentration,0.45504734732983704,0.1429949934227063
acute flare-up of triaditis/chronic enteropathy,clinical_only,14,cat__Na interpreatation_decreased,0.4383211141316569,0.1572423196422722
acute flare-up of triaditis/chronic enteropathy,clinical_only,15,num__Albumin concentration (in g/l),0.42586115906591326,0.08727513978854046
acute flare-up of triaditis/chronic enteropathy,clinical_only,16,num__Cl value,0.4245521706759036,0.256980596174528
acute flare-up of triaditis/chronic enteropathy,clinical_only,17,cat__hematocrit interpretation_lower limit,0.2988119175685774,0.4008533846718679
acute flare-up of triaditis/chronic enteropathy,clinical_only,18,cat__regularly dewormed_no,0.26147598024943364,0.15352320179925508
acute flare-up of triaditis/chronic enteropathy,clinical_only,19,num__hospitalization time (days)__missing,0.16488784860478028,0.051177487867071866
acute flare-up of triaditis/chronic enteropathy,clinical_only,20,num__altitude (MASL),0.14585907121879482,0.08277141377788465
acute flare-up of triaditis/chronic enteropathy,combined,1,num__neutrophil count (x 10^9/L),1.0055787308769766,0.2653987714507311
acute flare-up of triaditis/chronic enteropathy,combined,2,num__leukocyte count,0.9189641448376665,0.29884874242810117
acute flare-up of triaditis/chronic enteropathy,combined,3,num__body weight,0.9097175440350231,0.2786205211801127
acute flare-up of triaditis/chronic enteropathy,combined,4,cat__regularly dewormed_yes,0.8031142119521053,0.42232825215219866
acute flare-up of triaditis/chronic enteropathy,combined,5,num__hospitalization time (days),0.7213754224049103,0.35678534880017054
acute flare-up of triaditis/chronic enteropathy,combined,6,num__wind_direction_10m_dominant__day1,0.6533624158175125,0.24148675754584686
acute flare-up of triaditis/chronic enteropathy,combined,7,num__wind_gusts_10m_max__peak_14d,0.6347692011783689,0.3374532796302558
acute flare-up of triaditis/chronic enteropathy,combined,8,num__CREA concentration ,0.5250664784130403,0.2704941278354827
acute flare-up of triaditis/chronic enteropathy,combined,9,num__wind_gusts_10m_max__day1,0.48535157672018814,0.10789507721883955
acute flare-up of triaditis/chronic enteropathy,combined,10,num__K value,0.46660490898098433,0.13504432900748703
acute flare-up of triaditis/chronic enteropathy,combined,11,cat__Na interpreatation_decreased,0.440153558486856,0.16527634160787003
acute flare-up of triaditis/chronic enteropathy,combined,12,num__surface_pressure_max__mean_13d,0.4196739042771586,0.22750329818852646
acute flare-up of triaditis/chronic enteropathy,combined,13,num__surface_pressure_max__day1,0.39508828602147295,0.09780003812015396
acute flare-up of triaditis/chronic enteropathy,combined,14,num__moon_phase_sin,0.389392158444758,0.24034790435391454
acute flare-up of triaditis/chronic enteropathy,combined,15,cat__eda3_weekday_mon,0.38727745612196063,0.2312737091148442
acute flare-up of triaditis/chronic enteropathy,combined,16,num__Cl value,0.37040888115283754,0.18822626908224668
acute flare-up of triaditis/chronic enteropathy,combined,17,num__precipitation_sum__mean_7d,0.35472245489698606,0.2867130957205734
acute flare-up of triaditis/chronic enteropathy,combined,18,num__moon_phase_cos,0.3514038957052742,0.14114244283657873
acute flare-up of triaditis/chronic enteropathy,combined,19,num__lymphocyte count,0.34280994415851823,0.056260287270398085
acute flare-up of triaditis/chronic enteropathy,combined,20,num__Initial total protein concentration (in g/l),0.34252780587757864,0.24948497993696708
