cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,14,24.561403508771928,15.555555555555555
1,acute gastroenteritis,30,52.63157894736842,50.0
1,acute pancreatitis,7,12.280701754385964,5.64516129032258
1,parvovirus enteritis,6,10.526315789473683,14.634146341463413
2,acute flare-up of triaditis/chronic enteropathy,9,32.142857142857146,10.0
2,acute gastroenteritis,3,10.714285714285714,5.0
2,acute pancreatitis,15,53.57142857142857,12.096774193548388
2,parvovirus enteritis,1,3.571428571428571,2.4390243902439024
3,acute flare-up of triaditis/chronic enteropathy,8,34.78260869565217,8.88888888888889
3,acute gastroenteritis,2,8.695652173913043,3.3333333333333335
3,acute pancreatitis,7,30.434782608695656,5.64516129032258
3,parvovirus enteritis,6,26.08695652173913,14.634146341463413
4,acute flare-up of triaditis/chronic enteropathy,59,28.502415458937197,65.55555555555556
4,acute gastroenteritis,25,12.077294685990339,41.66666666666667
4,acute pancreatitis,95,45.893719806763286,76.61290322580645
4,parvovirus enteritis,28,13.526570048309178,68.29268292682927
