cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,8,32.0,8.88888888888889
1,acute gastroenteritis,5,20.0,8.333333333333332
1,acute pancreatitis,8,32.0,6.451612903225806
1,parvovirus enteritis,4,16.0,9.75609756097561
2,acute flare-up of triaditis/chronic enteropathy,51,32.48407643312102,56.666666666666664
2,acute gastroenteritis,28,17.8343949044586,46.666666666666664
2,acute pancreatitis,65,41.40127388535032,52.41935483870967
2,parvovirus enteritis,13,8.280254777070063,31.70731707317073
3,acute flare-up of triaditis/chronic enteropathy,8,38.095238095238095,8.88888888888889
3,acute gastroenteritis,2,9.523809523809524,3.3333333333333335
3,acute pancreatitis,8,38.095238095238095,6.451612903225806
3,parvovirus enteritis,3,14.285714285714285,7.317073170731707
4,acute flare-up of triaditis/chronic enteropathy,11,20.754716981132077,12.222222222222221
4,acute gastroenteritis,8,15.09433962264151,13.333333333333334
4,acute pancreatitis,20,37.735849056603776,16.129032258064516
4,parvovirus enteritis,14,26.41509433962264,34.146341463414636
5,acute flare-up of triaditis/chronic enteropathy,8,25.0,8.88888888888889
5,acute gastroenteritis,10,31.25,16.666666666666664
5,acute pancreatitis,10,31.25,8.064516129032258
5,parvovirus enteritis,4,12.5,9.75609756097561
6,acute flare-up of triaditis/chronic enteropathy,4,14.814814814814813,4.444444444444445
6,acute gastroenteritis,7,25.925925925925924,11.666666666666666
6,acute pancreatitis,13,48.148148148148145,10.483870967741936
6,parvovirus enteritis,3,11.11111111111111,7.317073170731707
