block,pc,rank,feature,loading_signed,loading_abs
clinical_only,PC1,1,K value__missing,0.29457410422144265,0.29457410422144265
clinical_only,PC1,2,Na value__missing,0.29457410422144265,0.29457410422144265
clinical_only,PC1,3,Cl value__missing,0.293181445208176,0.293181445208176
clinical_only,PC1,4,CREA concentration __missing,0.2916783269587756,0.2916783269587756
clinical_only,PC1,5,Initial total protein concentration (in g/l)__missing,0.29162698758393013,0.29162698758393013
clinical_only,PC1,6,initial hematocrit__missing,0.2913571338522685,0.2913571338522685
clinical_only,PC1,7,BUN concentration__missing,0.28967457740365915,0.28967457740365915
clinical_only,PC1,8,leukocyte count__missing,0.28817757019376294,0.28817757019376294
clinical_only,PC1,9,Albumin concentration (in g/l)__missing,0.2881557796900408,0.2881557796900408
clinical_only,PC1,10,neutrophil count (x 10^9/L)__missing,0.2860613443832,0.2860613443832
clinical_only,PC1,11,lymphocyte count__missing,0.2860613443832,0.2860613443832
clinical_only,PC1,12,hospitalization time (days)__missing,0.17650565866620682,0.17650565866620682
clinical_only,PC1,13,Cl value,0.08511156660285624,0.08511156660285624
clinical_only,PC1,14,body weight__missing,0.08050335021157984,0.08050335021157984
clinical_only,PC1,15,hospitalization time (days),-0.07503140315639122,0.07503140315639122
clinical_only,PC1,16,neutrophil count (x 10^9/L),-0.07244409379469768,0.07244409379469768
clinical_only,PC1,17,leukocyte count,-0.06836425666690195,0.06836425666690195
clinical_only,PC1,18,Na value,0.06499858229663077,0.06499858229663077
clinical_only,PC1,19,initial hematocrit,-0.05094777935592791,0.05094777935592791
clinical_only,PC1,20,body weight,-0.04633818980513906,0.04633818980513906
clinical_only,PC2,1,leukocyte count,0.43992956602802197,0.43992956602802197
clinical_only,PC2,2,neutrophil count (x 10^9/L),0.41232310411765605,0.41232310411765605
clinical_only,PC2,3,Cl value,-0.3638830024142524,0.3638830024142524
clinical_only,PC2,4,BUN concentration,0.335320201516735,0.335320201516735
clinical_only,PC2,5,Albumin concentration (in g/l),0.2988521618546896,0.2988521618546896
clinical_only,PC2,6,Initial total protein concentration (in g/l),0.2847303181479044,0.2847303181479044
clinical_only,PC2,7,Na value,-0.2731129232083473,0.2731129232083473
clinical_only,PC2,8,CREA concentration ,0.23245837833248,0.23245837833248
clinical_only,PC2,9,lymphocyte count,0.2092994399877541,0.2092994399877541
clinical_only,PC2,10,K value,-0.12887878631512567,0.12887878631512567
clinical_only,PC2,11,body weight,0.10065810025173699,0.10065810025173699
clinical_only,PC2,12,initial hematocrit__missing,0.05427319115833946,0.05427319115833946
clinical_only,PC2,13,leukocyte count__missing,0.0534740800952437,0.0534740800952437
clinical_only,PC2,14,Initial total protein concentration (in g/l)__missing,0.05190711158173762,0.05190711158173762
clinical_only,PC2,15,lymphocyte count__missing,0.04695087398544536,0.04695087398544536
clinical_only,PC2,16,neutrophil count (x 10^9/L)__missing,0.04695087398544535,0.04695087398544535
clinical_only,PC2,17,initial hematocrit,0.0425399955071285,0.0425399955071285
clinical_only,PC2,18,body weight__missing,0.03916858151255475,0.03916858151255475
clinical_only,PC2,19,Albumin concentration (in g/l)__missing,0.037913909720637795,0.037913909720637795
clinical_only,PC2,20,CREA concentration __missing,0.035198969679228906,0.035198969679228906
clinical_only,PC3,1,Albumin concentration (in g/l),0.4990898975754072,0.4990898975754072
clinical_only,PC3,2,initial hematocrit,0.4731336415241022,0.4731336415241022
clinical_only,PC3,3,Initial total protein concentration (in g/l),0.4273752064001392,0.4273752064001392
clinical_only,PC3,4,body weight,0.34536487854596504,0.34536487854596504
clinical_only,PC3,5,Na value,0.25187577160414465,0.25187577160414465
clinical_only,PC3,6,BUN concentration,-0.23555919842984444,0.23555919842984444
clinical_only,PC3,7,hospitalization time (days),-0.1629762819644673,0.1629762819644673
clinical_only,PC3,8,Cl value,0.15995502043371654,0.15995502043371654
clinical_only,PC3,9,leukocyte count,-0.1226049736247699,0.1226049736247699
clinical_only,PC3,10,lymphocyte count,-0.10355909752191142,0.10355909752191142
clinical_only,PC3,11,altitude (MASL),-0.08394984192217951,0.08394984192217951
clinical_only,PC3,12,hospitalization time (days)__missing,0.07621716157538738,0.07621716157538738
clinical_only,PC3,13,CREA concentration ,-0.06334701016286802,0.06334701016286802
clinical_only,PC3,14,neutrophil count (x 10^9/L),-0.06210048435191208,0.06210048435191208
clinical_only,PC3,15,body weight__missing,0.045466585346406,0.045466585346406
clinical_only,PC3,16,Initial total protein concentration (in g/l)__missing,-0.03207791428777093,0.03207791428777093
clinical_only,PC3,17,Albumin concentration (in g/l)__missing,-0.03133967442199326,0.03133967442199326
clinical_only,PC3,18,K value__missing,-0.026600934079389352,0.026600934079389352
clinical_only,PC3,19,Na value__missing,-0.026600934079389352,0.026600934079389352
clinical_only,PC3,20,Cl value__missing,-0.025654053408912372,0.025654053408912372
clinical_only,PC4,1,Na value,0.5291870464989453,0.5291870464989453
clinical_only,PC4,2,Cl value,0.44980376050702275,0.44980376050702275
clinical_only,PC4,3,leukocyte count,0.42742296643464817,0.42742296643464817
clinical_only,PC4,4,neutrophil count (x 10^9/L),0.35765528144534864,0.35765528144534864
clinical_only,PC4,5,lymphocyte count,0.3460314163769745,0.3460314163769745
clinical_only,PC4,6,Albumin concentration (in g/l),-0.1779546245476153,0.1779546245476153
clinical_only,PC4,7,body weight,0.13077819903004795,0.13077819903004795
clinical_only,PC4,8,BUN concentration,-0.1110847613745654,0.1110847613745654
clinical_only,PC4,9,initial hematocrit,-0.09762116023985849,0.09762116023985849
clinical_only,PC4,10,K value,0.06650695506712577,0.06650695506712577
clinical_only,PC4,11,Initial total protein concentration (in g/l),-0.05511167864488188,0.05511167864488188
clinical_only,PC4,12,altitude (MASL),-0.047993007466201734,0.047993007466201734
clinical_only,PC4,13,hospitalization time (days)__missing,-0.046182903061793894,0.046182903061793894
clinical_only,PC4,14,hospitalization time (days),0.04265987229035551,0.04265987229035551
clinical_only,PC4,15,Initial total protein concentration (in g/l)__missing,-0.027223729654517966,0.027223729654517966
clinical_only,PC4,16,CREA concentration ,0.02675305349388018,0.02675305349388018
clinical_only,PC4,17,BUN concentration__missing,-0.023085908475553862,0.023085908475553862
clinical_only,PC4,18,body weight__missing,-0.015228111052503279,0.015228111052503279
clinical_only,PC4,19,leukocyte count__missing,0.01300725288227316,0.01300725288227316
clinical_only,PC4,20,initial hematocrit__missing,0.013003848300420368,0.013003848300420368
clinical_only,PC5,1,CREA concentration ,0.6526923038980958,0.6526923038980958
clinical_only,PC5,2,BUN concentration,0.46782221353433173,0.46782221353433173
clinical_only,PC5,3,K value,0.4148575834908797,0.4148575834908797
clinical_only,PC5,4,lymphocyte count,-0.20472640594042626,0.20472640594042626
clinical_only,PC5,5,Cl value,0.19586807747280777,0.19586807747280777
clinical_only,PC5,6,altitude (MASL),-0.19401020599201066,0.19401020599201066
clinical_only,PC5,7,leukocyte count,-0.1374960522789213,0.1374960522789213
clinical_only,PC5,8,initial hematocrit,0.11909313928618855,0.11909313928618855
clinical_only,PC5,9,Na value,0.11464739427487697,0.11464739427487697
clinical_only,PC5,10,neutrophil count (x 10^9/L),-0.07534126501083431,0.07534126501083431
clinical_only,PC5,11,hospitalization time (days),0.05719295763962798,0.05719295763962798
clinical_only,PC5,12,Albumin concentration (in g/l),-0.04697964977172892,0.04697964977172892
clinical_only,PC5,13,Initial total protein concentration (in g/l)__missing,-0.04038912506609702,0.04038912506609702
clinical_only,PC5,14,body weight,0.03838823253988958,0.03838823253988958
clinical_only,PC5,15,body weight__missing,0.03167834188601799,0.03167834188601799
