block,pc,rank,feature,loading_signed,loading_abs
combined,PC1,1,Na value__missing,0.2711596239231363,0.2711596239231363
combined,PC1,2,K value__missing,0.2711596239231363,0.2711596239231363
combined,PC1,3,Cl value__missing,0.2693780730042261,0.2693780730042261
combined,PC1,4,initial hematocrit__missing,0.2683926298806671,0.2683926298806671
combined,PC1,5,Initial total protein concentration (in g/l)__missing,0.2681220572559851,0.2681220572559851
combined,PC1,6,leukocyte count__missing,0.26627259097514067,0.26627259097514067
combined,PC1,7,Albumin concentration (in g/l)__missing,0.2648977483786724,0.2648977483786724
combined,PC1,8,CREA concentration __missing,0.2648938521884986,0.2648938521884986
combined,PC1,9,BUN concentration__missing,0.2648788402979917,0.2648788402979917
combined,PC1,10,lymphocyte count__missing,0.26339687848163634,0.26339687848163634
combined,PC1,11,neutrophil count (x 10^9/L)__missing,0.26339687848163634,0.26339687848163634
combined,PC1,12,hospitalization time (days)__missing,0.16461098454274967,0.16461098454274967
combined,PC1,13,precipitation_hours__mean_13d,0.13010476653032574,0.13010476653032574
combined,PC1,14,precipitation_hours__mean_7d,0.12734069519871635,0.12734069519871635
combined,PC1,15,precipitation_sum__mean_13d,0.12494584611818782,0.12494584611818782
combined,PC1,16,precipitation_sum__mean_7d,0.12164651641941454,0.12164651641941454
combined,PC1,17,precipitation_hours__peak_7d,0.10697983194778579,0.10697983194778579
combined,PC1,18,precipitation_hours__peak_14d,0.10628568423924116,0.10628568423924116
combined,PC1,19,precipitation_hours__mean_2d,0.10446217256902712,0.10446217256902712
combined,PC1,20,precipitation_sum__peak_14d,0.09489217145452421,0.09489217145452421
combined,PC2,1,precipitation_hours__mean_7d,0.28921415820468716,0.28921415820468716
combined,PC2,2,precipitation_hours__mean_13d,0.26227502034131356,0.26227502034131356
combined,PC2,3,precipitation_hours__peak_7d,0.2593893236780849,0.2593893236780849
combined,PC2,4,precipitation_hours__mean_2d,0.25147264819661375,0.25147264819661375
combined,PC2,5,precipitation_sum__mean_7d,0.23244046467895668,0.23244046467895668
combined,PC2,6,precipitation_hours__day1,0.21806362631834816,0.21806362631834816
combined,PC2,7,precipitation_sum__mean_13d,0.20006271788646784,0.20006271788646784
combined,PC2,8,precipitation_hours__peak_14d,0.19493917323017415,0.19493917323017415
combined,PC2,9,wind_gusts_10m_max__mean_13d,0.17608122844374408,0.17608122844374408
combined,PC2,10,precipitation_sum__mean_2d,0.17395564977965527,0.17395564977965527
combined,PC2,11,wind_gusts_10m_max__mean_7d,0.1725851665788373,0.1725851665788373
combined,PC2,12,snowfall_sum__mean_7d,0.17182352781575214,0.17182352781575214
combined,PC2,13,surface_pressure_max__mean_13d,-0.17114969143131617,0.17114969143131617
combined,PC2,14,snowfall_sum__mean_13d,0.16078869701315193,0.16078869701315193
combined,PC2,15,surface_pressure_max__day1,-0.15773238847968613,0.15773238847968613
combined,PC2,16,wind_gusts_10m_max__peak_14d,0.15403693219592263,0.15403693219592263
combined,PC2,17,snowfall_sum__mean_3d,0.15006502115003617,0.15006502115003617
combined,PC2,18,precipitation_sum__day1,0.14444201919058744,0.14444201919058744
combined,PC2,19,snowfall_sum__mean_2d,0.1428860110922657,0.1428860110922657
combined,PC2,20,wind_gusts_10m_max__day1,0.13750487930039762,0.13750487930039762
combined,PC3,1,snowfall_sum__mean_3d,0.3415479164655577,0.3415479164655577
combined,PC3,2,snowfall_sum__mean_2d,0.3319851437827869,0.3319851437827869
combined,PC3,3,snowfall_sum__mean_7d,0.30692675669216135,0.30692675669216135
combined,PC3,4,snowfall_sum__mean_13d,0.2962095687039043,0.2962095687039043
combined,PC3,5,apparent_temperature_max__day1,-0.2677402129564636,0.2677402129564636
combined,PC3,6,snowfall_sum__day1,0.26053141949092024,0.26053141949092024
combined,PC3,7,wind_direction_10m_dominant__mean_7d,-0.25842322393297124,0.25842322393297124
combined,PC3,8,wind_direction_10m_dominant__mean_13d,-0.2582826883291028,0.2582826883291028
combined,PC3,9,daylight_duration__day1,-0.23765167605983548,0.23765167605983548
