block,component,explained_variance_ratio,cumulative_variance_ratio
combined,PC1,0.18957416337841926,0.18957416337841926
combined,PC2,0.12010506143360856,0.3096792248120278
combined,PC3,0.07249425702892189,0.3821734818409497
combined,PC4,0.05092626407918522,0.4330997459201349
combined,PC5,0.04789088863759592,0.48099063455773083
combined,PC6,0.04622846605248793,0.5272191006102188
combined,PC7,0.043853837799867096,0.5710729384100859
combined,PC8,0.03609069277045622,0.6071636311805421
combined,PC9,0.03452892294442376,0.6416925541249658
combined,PC10,0.031282372514573865,0.6729749266395397
combined,PC11,0.02597896380177209,0.6989538904413118
combined,PC12,0.024104362889700883,0.7230582533310127
combined,PC13,0.0206801630448057,0.7437384163758184
combined,PC14,0.01891831869782298,0.7626567350736414
combined,PC15,0.01720913464779113,0.7798658697214326
combined,PC16,0.016338579867554933,0.7962044495889875
combined,PC17,0.015911744745667554,0.8121161943346551
combined,PC18,0.014886659172138203,0.8270028535067933
combined,PC19,0.014176967914006263,0.8411798214207995
combined,PC20,0.01343961493545298,0.8546194363562525
