model,disease,feature_block,fold,n_train,n_test,n_positive_train,n_positive_test,n_numeric_features,n_categorical_features,balanced_accuracy,recall,precision,f1,roc_auc
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,1,251,63,71,18,27,25,0.6277777777777778,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.6641975308641975
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,2,251,63,71,18,27,25,0.5777777777777777,0.3333333333333333,0.42857142857142855,0.375,0.7246913580246914
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,3,251,63,71,18,27,25,0.6055555555555555,0.3888888888888889,0.4666666666666667,0.42424242424242425,0.6790123456790123
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,4,251,63,71,18,27,25,0.5722222222222222,0.2777777777777778,0.45454545454545453,0.3448275862068966,0.6185185185185185
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,5,252,62,72,17,27,25,0.4882352941176471,0.17647058823529413,0.25,0.20689655172413793,0.526797385620915
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,1,251,63,71,18,31,5,0.4944444444444444,0.16666666666666666,0.2727272727272727,0.20689655172413793,0.6506172839506172
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,2,251,63,71,18,31,5,0.4944444444444444,0.16666666666666666,0.2727272727272727,0.20689655172413793,0.5524691358024691
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,3,251,63,71,18,31,5,0.49444444444444446,0.05555555555555555,0.25,0.09090909090909091,0.47160493827160493
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,4,251,63,71,18,31,5,0.5333333333333333,0.2222222222222222,0.36363636363636365,0.27586206896551724,0.5395061728395062
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,5,252,62,72,17,31,5,0.4294117647058824,0.058823529411764705,0.1,0.07407407407407407,0.4143790849673203
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,1,251,63,71,18,58,30,0.5444444444444445,0.2222222222222222,0.4,0.2857142857142857,0.6728395061728395
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,2,251,63,71,18,58,30,0.5444444444444445,0.2222222222222222,0.4,0.2857142857142857,0.6814814814814815
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,3,251,63,71,18,58,30,0.5055555555555555,0.16666666666666666,0.3,0.21428571428571427,0.5987654320987654
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,4,251,63,71,18,58,30,0.5333333333333333,0.2222222222222222,0.36363636363636365,0.27586206896551724,0.6827160493827161
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,5,252,62,72,17,58,30,0.48104575163398694,0.11764705882352941,0.2222222222222222,0.15384615384615385,0.5215686274509804
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,1,251,63,48,12,27,25,0.75,0.5,1.0,0.6666666666666666,0.7516339869281046
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,2,251,63,48,12,27,25,0.8970588235294118,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9003267973856208
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,3,251,63,48,12,27,25,0.8333333333333333,0.6666666666666666,1.0,0.8,0.880718954248366
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,4,251,63,48,12,27,25,0.7401960784313726,0.5,0.8571428571428571,0.631578947368421,0.838235294117647
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,5,252,62,48,12,27,25,0.74,0.5,0.8571428571428571,0.631578947368421,0.7733333333333333
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,1,251,63,48,12,31,5,0.5441176470588235,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5310457516339869
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,2,251,63,48,12,31,5,0.5784313725490196,0.3333333333333333,0.3076923076923077,0.32,0.661764705882353
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,3,251,63,48,12,31,5,0.5024509803921569,0.08333333333333333,0.2,0.11764705882352941,0.630718954248366
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,4,251,63,48,12,31,5,0.49019607843137253,0.0,0.0,0.0,0.5866013071895424
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,5,252,62,48,12,31,5,0.585,0.25,0.42857142857142855,0.3157894736842105,0.6416666666666666
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,combined,1,251,63,48,12,58,30,0.7720588235294118,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.8660130718954249
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,combined,2,251,63,48,12,58,30,0.8970588235294118,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.946078431372549
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,combined,3,251,63,48,12,58,30,0.8333333333333333,0.6666666666666666,1.0,0.8,0.9052287581699346
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,combined,4,251,63,48,12,58,30,0.75,0.5,1.0,0.6666666666666666,0.8774509803921569
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,combined,5,252,62,48,12,58,30,0.7816666666666667,0.5833333333333334,0.875,0.7,0.8333333333333334
hist_gb_binary_acute_pancreatitis,acute pancreatitis,clinical_only,1,251,63,99,25,27,25,0.5089473684210526,0.36,0.4090909090909091,0.3829787234042553,0.6231578947368421
hist_gb_binary_acute_pancreatitis,acute pancreatitis,clinical_only,2,251,63,99,25,27,25,0.708421052631579,0.68,0.6296296296296297,0.6538461538461539,0.82
hist_gb_binary_acute_pancreatitis,acute pancreatitis,clinical_only,3,251,63,99,25,27,25,0.6347368421052632,0.48,0.6,0.5333333333333333,0.763157894736842
hist_gb_binary_acute_pancreatitis,acute pancreatitis,clinical_only,4,251,63,99,25,27,25,0.5352631578947369,0.36,0.45,0.4,0.5515789473684212
hist_gb_binary_acute_pancreatitis,acute pancreatitis,clinical_only,5,252,62,100,24,27,25,0.618421052631579,0.5,0.5454545454545454,0.5217391304347826,0.6776315789473684
hist_gb_binary_acute_pancreatitis,acute pancreatitis,environmental_only,1,251,63,99,25,31,5,0.46894736842105267,0.28,0.35,0.3111111111111111,0.45789473684210524
hist_gb_binary_acute_pancreatitis,acute pancreatitis,environmental_only,2,251,63,99,25,31,5,0.4889473684210527,0.32,0.38095238095238093,0.34782608695652173,0.5157894736842106
hist_gb_binary_acute_pancreatitis,acute pancreatitis,environmental_only,3,251,63,99,25,31,5,0.5552631578947369,0.4,0.47619047619047616,0.43478260869565216,0.5347368421052632
hist_gb_binary_acute_pancreatitis,acute pancreatitis,environmental_only,4,251,63,99,25,31,5,0.5484210526315789,0.36,0.47368421052631576,0.4090909090909091,0.5857894736842105
hist_gb_binary_acute_pancreatitis,acute pancreatitis,environmental_only,5,252,62,100,24,31,5,0.44846491228070173,0.2916666666666667,0.3181818181818182,0.30434782608695654,0.40460526315789475
hist_gb_binary_acute_pancreatitis,acute pancreatitis,combined,1,251,63,99,25,58,30,0.5421052631578948,0.4,0.45454545454545453,0.425531914893617,0.5831578947368421
hist_gb_binary_acute_pancreatitis,acute pancreatitis,combined,2,251,63,99,25,58,30,0.6289473684210527,0.6,0.5357142857142857,0.5660377358490566,0.7126315789473684
hist_gb_binary_acute_pancreatitis,acute pancreatitis,combined,3,251,63,99,25,58,30,0.6810526315789474,0.52,0.6842105263157895,0.5909090909090909,0.771578947368421
hist_gb_binary_acute_pancreatitis,acute pancreatitis,combined,4,251,63,99,25,58,30,0.5094736842105263,0.44,0.4074074074074074,0.4230769230769231,0.5505263157894738
hist_gb_binary_acute_pancreatitis,acute pancreatitis,combined,5,252,62,100,24,58,30,0.5010964912280702,0.2916666666666667,0.3888888888888889,0.3333333333333333,0.555921052631579
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,1,251,63,33,8,27,25,0.865909090909091,0.75,0.8571428571428571,0.8,0.9704545454545455
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,2,251,63,33,8,27,25,0.9375,0.875,1.0,0.9333333333333333,0.9977272727272727
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,3,251,63,33,8,27,25,0.865909090909091,0.75,0.8571428571428571,0.8,0.9727272727272727
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,4,251,63,32,9,27,25,0.8240740740740741,0.6666666666666666,0.8571428571428571,0.75,0.9609053497942387
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,5,252,62,33,8,27,25,0.8032407407407407,0.625,0.8333333333333334,0.7142857142857143,0.9583333333333334
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,1,251,63,33,8,31,5,0.5977272727272727,0.25,0.4,0.3076923076923077,0.7318181818181818
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,2,251,63,33,8,31,5,0.7943181818181818,0.625,0.7142857142857143,0.6666666666666666,0.8909090909090909
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,3,251,63,33,8,31,5,0.553409090909091,0.125,0.5,0.2,0.47045454545454546
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,4,251,63,32,9,31,5,0.5925925925925926,0.2222222222222222,0.5,0.3076923076923077,0.6841563786008231
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,5,252,62,33,8,31,5,0.5532407407407407,0.125,0.5,0.2,0.6481481481481481
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,combined,1,251,63,33,8,58,30,0.803409090909091,0.625,0.8333333333333334,0.7142857142857143,0.9613636363636363
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,combined,2,251,63,33,8,58,30,0.9375,0.875,1.0,0.9333333333333333,0.9977272727272727
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,combined,3,251,63,33,8,58,30,0.8568181818181818,0.75,0.75,0.75,0.9704545454545455
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,combined,4,251,63,32,9,58,30,0.8055555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9588477366255144
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,combined,5,252,62,33,8,58,30,0.7407407407407407,0.5,0.8,0.6153846153846154,0.9699074074074074
