model,disease,feature_block,fold,n_train,n_test,n_positive_train,n_positive_test,n_numeric_features,n_categorical_features,balanced_accuracy,recall,precision,f1,roc_auc
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,1,251,63,71,18,27,25,0.5555555555555556,0.3333333333333333,0.375,0.35294117647058826,0.6592592592592592
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,2,251,63,71,18,27,25,0.5944444444444444,0.3888888888888889,0.4375,0.4117647058823529,0.7185185185185186
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,3,251,63,71,18,27,25,0.5888888888888889,0.3333333333333333,0.46153846153846156,0.3870967741935484,0.682716049382716
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,4,251,63,71,18,27,25,0.6055555555555555,0.3888888888888889,0.4666666666666667,0.42424242424242425,0.6506172839506172
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,5,252,62,72,17,27,25,0.5176470588235295,0.23529411764705882,0.3076923076923077,0.26666666666666666,0.4954248366013072
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,1,251,63,71,18,31,5,0.538888888888889,0.2777777777777778,0.35714285714285715,0.3125,0.6000000000000001
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,2,251,63,71,18,31,5,0.5222222222222223,0.3333333333333333,0.3157894736842105,0.32432432432432434,0.5290123456790123
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,3,251,63,71,18,31,5,0.48333333333333334,0.16666666666666666,0.25,0.2,0.4407407407407407
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,4,251,63,71,18,31,5,0.55,0.2777777777777778,0.38461538461538464,0.3225806451612903,0.5777777777777777
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,5,252,62,72,17,31,5,0.45882352941176474,0.11764705882352941,0.18181818181818182,0.14285714285714285,0.4117647058823529
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,1,251,63,71,18,58,30,0.6,0.3333333333333333,0.5,0.4,0.7358024691358024
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,2,251,63,71,18,58,30,0.5277777777777778,0.16666666666666666,0.375,0.23076923076923078,0.6777777777777777
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,3,251,63,71,18,58,30,0.4888888888888889,0.2222222222222222,0.26666666666666666,0.24242424242424243,0.591358024691358
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,4,251,63,71,18,58,30,0.5333333333333333,0.2222222222222222,0.36363636363636365,0.27586206896551724,0.6567901234567901
lgbm_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,5,252,62,72,17,58,30,0.5509803921568628,0.23529411764705882,0.4,0.2962962962962963,0.596078431372549
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,1,251,63,48,12,27,25,0.7916666666666667,0.5833333333333334,1.0,0.7368421052631579,0.8202614379084967
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,2,251,63,48,12,27,25,0.8872549019607843,0.8333333333333334,0.7692307692307693,0.8,0.8905228758169935
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,3,251,63,48,12,27,25,0.8235294117647058,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.934640522875817
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,4,251,63,48,12,27,25,0.8235294117647058,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.8774509803921567
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,5,252,62,48,12,27,25,0.72,0.5,0.6666666666666666,0.5714285714285714,0.7699999999999999
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,1,251,63,48,12,31,5,0.48284313725490197,0.08333333333333333,0.14285714285714285,0.10526315789473684,0.5261437908496732
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,2,251,63,48,12,31,5,0.5784313725490196,0.3333333333333333,0.3076923076923077,0.32,0.6225490196078431
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,3,251,63,48,12,31,5,0.5343137254901961,0.16666666666666666,0.2857142857142857,0.21052631578947367,0.5702614379084967
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,4,251,63,48,12,31,5,0.5122549019607843,0.08333333333333333,0.25,0.125,0.5996732026143791
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,5,252,62,48,12,31,5,0.575,0.25,0.375,0.3,0.5983333333333333
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,combined,1,251,63,48,12,58,30,0.7818627450980392,0.5833333333333334,0.875,0.7,0.9150326797385622
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,combined,2,251,63,48,12,58,30,0.9387254901960784,0.9166666666666666,0.8461538461538461,0.88,0.934640522875817
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,combined,3,251,63,48,12,58,30,0.8333333333333333,0.6666666666666666,1.0,0.8,0.9444444444444444
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,combined,4,251,63,48,12,58,30,0.75,0.5,1.0,0.6666666666666666,0.8627450980392157
