model,feature_block,fold,n_train,n_test,n_numeric_features,n_categorical_features,accuracy,balanced_accuracy,macro_f1,weighted_f1
random_forest,clinical_only,1,251,63,27,25,0.5396825396825397,0.5125,0.519866220735786,0.5068577799012581
random_forest,clinical_only,2,251,63,27,25,0.5714285714285714,0.5429166666666667,0.5319499341238472,0.5265073091160047
random_forest,clinical_only,3,251,63,27,25,0.5555555555555556,0.6075,0.5875911833998967,0.5293027755829969
random_forest,clinical_only,4,251,63,27,25,0.4444444444444444,0.4441176470588235,0.4384890887889389,0.42670992546055014
random_forest,clinical_only,5,252,62,27,25,0.45161290322580644,0.4444444444444444,0.44328552803129073,0.42335029650502587
logistic_ovr,clinical_only,1,251,63,27,25,0.5079365079365079,0.5644444444444444,0.5571428571428572,0.5040816326530613
logistic_ovr,clinical_only,2,251,63,27,25,0.6666666666666666,0.6487499999999999,0.6656446540880503,0.6672742052795961
logistic_ovr,clinical_only,3,251,63,27,25,0.5714285714285714,0.6079166666666667,0.58799536755258,0.5600683139737715
logistic_ovr,clinical_only,4,251,63,27,25,0.5396825396825397,0.603251633986928,0.5863536581621688,0.5338374335334822
logistic_ovr,clinical_only,5,252,62,27,25,0.4838709677419355,0.5277777777777778,0.5177036092214664,0.4774568429522346
hist_gb,clinical_only,1,251,63,27,25,0.6190476190476191,0.6352777777777778,0.6352752639517345,0.6161387631975868
hist_gb,clinical_only,2,251,63,27,25,0.6507936507936508,0.6270833333333334,0.6442577030812324,0.6463474278600331
hist_gb,clinical_only,3,251,63,27,25,0.5555555555555556,0.63,0.5989671760045274,0.542929905408683
hist_gb,clinical_only,4,251,63,27,25,0.49206349206349204,0.5254411764705882,0.5354093676181069,0.4993965200745415
hist_gb,clinical_only,5,252,62,27,25,0.5806451612903226,0.6354166666666666,0.6221133559806902,0.5771080209709141
random_forest,environmental_only,1,251,63,31,5,0.3492063492063492,0.29583333333333334,0.294171626984127,0.3217639833711262
random_forest,environmental_only,2,251,63,31,5,0.36507936507936506,0.3205555555555556,0.32975558923834786,0.35309189988992945
random_forest,environmental_only,3,251,63,31,5,0.3492063492063492,0.2893055555555556,0.2907485651113837,0.32796204110546934
random_forest,environmental_only,4,251,63,31,5,0.3492063492063492,0.32465686274509803,0.33469827586206896,0.3423782156540777
random_forest,environmental_only,5,252,62,31,5,0.3870967741935484,0.3888888888888889,0.3804951690821256,0.38525790868006854
logistic_ovr,environmental_only,1,251,63,31,5,0.2857142857142857,0.29180555555555554,0.28352564102564104,0.2846967846967847
logistic_ovr,environmental_only,2,251,63,31,5,0.30158730158730157,0.3416666666666667,0.3231888288814285,0.2985745718193536
logistic_ovr,environmental_only,3,251,63,31,5,0.4126984126984127,0.3865277777777778,0.37883914331282753,0.40765333246536256
logistic_ovr,environmental_only,4,251,63,31,5,0.3492063492063492,0.39599673202614377,0.37159941507767597,0.33909913413019
logistic_ovr,environmental_only,5,252,62,31,5,0.3225806451612903,0.2951388888888889,0.28794947446063063,0.31531410420372014
hist_gb,environmental_only,1,251,63,31,5,0.3968253968253968,0.36875,0.37255332625040866,0.3831012572839967
hist_gb,environmental_only,2,251,63,31,5,0.3968253968253968,0.3448611111111111,0.3489583333333333,0.3792328042328042
hist_gb,environmental_only,3,251,63,31,5,0.30158730158730157,0.2554166666666666,0.25190981432360743,0.28659677487263696
hist_gb,environmental_only,4,251,63,31,5,0.3968253968253968,0.3640686274509804,0.37212684116708883,0.3897027178760924
hist_gb,environmental_only,5,252,62,31,5,0.3709677419354839,0.3680555555555556,0.36241134751773046,0.3719057423930451
random_forest,combined,1,251,63,58,30,0.5714285714285714,0.55375,0.5643290043290043,0.5387837559266131
random_forest,combined,2,251,63,58,30,0.5714285714285714,0.5429166666666667,0.5441017316017316,0.5305778877207449
random_forest,combined,3,251,63,58,30,0.5873015873015873,0.6197222222222223,0.5786507610037022,0.5231108760520525
random_forest,combined,4,251,63,58,30,0.5079365079365079,0.48411764705882354,0.4791529164260375,0.47776880738270067
random_forest,combined,5,252,62,58,30,0.5483870967741935,0.5104166666666666,0.5211639492753622,0.5107129499766245
logistic_ovr,combined,1,251,63,58,30,0.49206349206349204,0.5544444444444444,0.555227823977824,0.4925538175538175
logistic_ovr,combined,2,251,63,58,30,0.6031746031746031,0.6036111111111111,0.6172860682294645,0.6020093114432737
logistic_ovr,combined,3,251,63,58,30,0.5714285714285714,0.6118055555555556,0.593218954248366,0.565618840128644
logistic_ovr,combined,4,251,63,58,30,0.6031746031746031,0.6704411764705882,0.6579710144927536,0.6020703933747412
logistic_ovr,combined,5,252,62,58,30,0.45161290322580644,0.5069444444444444,0.49300148312940306,0.4451541138899853
hist_gb,combined,1,251,63,58,30,0.5396825396825397,0.5883333333333334,0.6160189692798389,0.5489886514731235
hist_gb,combined,2,251,63,58,30,0.6031746031746031,0.5931944444444444,0.6180512016718913,0.6028229752367684
hist_gb,combined,3,251,63,58,30,0.5396825396825397,0.6308333333333334,0.6242722706003672,0.539413392798225
hist_gb,combined,4,251,63,58,30,0.5396825396825397,0.5493137254901961,0.5615159694107061,0.544130982727474
hist_gb,combined,5,252,62,58,30,0.5806451612903226,0.6215277777777778,0.6136729691876751,0.5786391976145296
