model,feature_block,class_label,n_folds,precision_mean,precision_std,precision_mean_pm_std,recall_mean,recall_std,recall_mean_pm_std,f1_mean,f1_std,f1_mean_pm_std,support_mean,support_std
hist_gb,clinical_only,acute flare-up of triaditis/chronic enteropathy,5,0.4743264088852325,0.09488516306563773,0.4743 ± 0.0949,0.4379084967320261,0.069593266140676,0.4379 ± 0.0696,0.45207136949072435,0.07596674790756092,0.4521 ± 0.0760,17.8,0.4472135954999579
hist_gb,clinical_only,acute gastroenteritis,5,0.6725718725718726,0.06268860374436608,0.6726 ± 0.0627,0.6333333333333333,0.045643546458763805,0.6333 ± 0.0456,0.6497391304347826,0.025685804532958555,0.6497 ± 0.0257,12.0,0.0
hist_gb,clinical_only,acute pancreatitis,5,0.5556023063736949,0.0762120135474742,0.5556 ± 0.0762,0.588,0.148054044186574,0.5880 ± 0.1481,0.5693710544774374,0.10800118543312577,0.5694 ± 0.1080,24.8,0.4472135954999579
hist_gb,clinical_only,parvovirus enteritis,5,0.7438672438672439,0.02437001528032852,0.7439 ± 0.0244,0.7833333333333333,0.1542229626943479,0.7833 ± 0.1542,0.7576367389060887,0.07498194152044413,0.7576 ± 0.0750,8.2,0.4472135954999579
hist_gb,combined,acute flare-up of triaditis/chronic enteropathy,5,0.4113106295149639,0.095847357580628,0.4113 ± 0.0958,0.40522875816993464,0.06649343120711047,0.4052 ± 0.0665,0.407016887016887,0.07688841331177468,0.4070 ± 0.0769,17.8,0.4472135954999579
hist_gb,combined,acute gastroenteritis,5,0.8237012987012988,0.04806949486577076,0.8237 ± 0.0481,0.6666666666666667,0.11785113019775792,0.6667 ± 0.1179,0.7293592677345538,0.06426507727446971,0.7294 ± 0.0643,12.0,0.0
hist_gb,combined,acute pancreatitis,5,0.509090909090909,0.03811491125677429,0.5091 ± 0.0381,0.5563333333333333,0.10230944346550919,0.5563 ± 0.1023,0.5299594904274707,0.06304090067835584,0.5300 ± 0.0630,24.8,0.4472135954999579
hist_gb,combined,parvovirus enteritis,5,0.773968253968254,0.16555791442413936,0.7740 ± 0.1656,0.7583333333333333,0.14553540997144152,0.7583 ± 0.1455,0.7604894589414715,0.1326576872364617,0.7605 ± 0.1327,8.2,0.4472135954999579
hist_gb,environmental_only,acute flare-up of triaditis/chronic enteropathy,5,0.3216386554621849,0.0849815234740357,0.3216 ± 0.0850,0.27058823529411763,0.1029904436519108,0.2706 ± 0.1030,0.29272727272727267,0.09565252736721355,0.2927 ± 0.0957,17.8,0.4472135954999579
hist_gb,environmental_only,acute gastroenteritis,5,0.3545954045954046,0.07935998619831042,0.3546 ± 0.0794,0.31666666666666665,0.06972166887783963,0.3167 ± 0.0697,0.3307231121281464,0.06352030423578371,0.3307 ± 0.0635,12.0,0.0
hist_gb,environmental_only,acute pancreatitis,5,0.40598814229249014,0.038679012964852495,0.4060 ± 0.0387,0.507,0.08628441342444185,0.5070 ± 0.0863,0.449178926774015,0.05463286894782968,0.4492 ± 0.0546,24.8,0.4472135954999579
hist_gb,environmental_only,parvovirus enteritis,5,0.375,0.1299038105676658,0.3750 ± 0.1299,0.26666666666666666,0.13043729868748774,0.2667 ± 0.1304,0.29373841844430076,0.11358851311836927,0.2937 ± 0.1136,8.2,0.4472135954999579
logistic_ovr,clinical_only,acute flare-up of triaditis/chronic enteropathy,5,0.4262362637362638,0.16927296430129846,0.4262 ± 0.1693,0.36993464052287583,0.16742426812394048,0.3699 ± 0.1674,0.39481112973048454,0.1671714098195758,0.3948 ± 0.1672,17.8,0.4472135954999579
logistic_ovr,clinical_only,acute gastroenteritis,5,0.5516666666666667,0.04864482957565424,0.5517 ± 0.0486,0.6500000000000001,0.09128709291752767,0.6500 ± 0.0913,0.5941798941798943,0.051717716038465804,0.5942 ± 0.0517,12.0,0.0
logistic_ovr,clinical_only,acute pancreatitis,5,0.5522958780350085,0.060775437635014376,0.5523 ± 0.0608,0.564,0.10990905331227269,0.5640 ± 0.1099,0.556690616832843,0.08222833284189772,0.5567 ± 0.0822,24.8,0.4472135954999579
logistic_ovr,clinical_only,parvovirus enteritis,5,0.8058730158730159,0.07843020818574602,0.8059 ± 0.0784,0.7777777777777778,0.10803020268127808,0.7778 ± 0.1080,0.7861904761904761,0.06574284326958378,0.7862 ± 0.0657,8.2,0.4472135954999579
logistic_ovr,combined,acute flare-up of triaditis/chronic enteropathy,5,0.383721322537112,0.07270228142187288,0.3837 ± 0.0727,0.3601307189542483,0.07772695653849428,0.3601 ± 0.0777,0.36981201315167156,0.07138050062182615,0.3698 ± 0.0714,17.8,0.4472135954999579
logistic_ovr,combined,acute gastroenteritis,5,0.5675910364145659,0.0898545127133335,0.5676 ± 0.0899,0.6333333333333334,0.11180339887498947,0.6333 ± 0.1118,0.5941041716903785,0.08629871951291274,0.5941 ± 0.0863,12.0,0.0
