disease,feature_block,feature,mean_abs_shap,std_abs_shap,n_folds
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__neutrophil count (x 10^9/L),1.3900530246534422,0.2649566832149239,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__body weight,1.2851427091754402,0.21234318494404275,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__leukocyte count,1.00591488096047,0.27126350045434683,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__hospitalization time (days),0.9468802145995026,0.283810162713822,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__CREA concentration ,0.8118989647889373,0.3049622606044161,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__regularly dewormed_yes,0.7467136669214964,0.4213920337972159,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__K value,0.6765069127513034,0.16292455264480188,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__lymphocyte count,0.605210321876038,0.2829690515880333,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__neuter status_intact,0.5396534538028475,0.1529610633950749,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Na value,0.5333934976490922,0.2055545012129881,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__BUN concentration,0.4953859906751458,0.17303905814448994,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Initial total protein concentration (in g/l),0.4574615520180477,0.10469245307700736,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Albumin concentration (in g/l),0.44263044289483283,0.1550434762157301,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_decreased,0.43022426987193274,0.2047285553213965,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__initial hematocrit,0.42385725689899256,0.1192332108029042,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Cl value,0.36936050062315184,0.19412205726819018,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__hematocrit interpretation_lower limit,0.29973856261834314,0.31003734506539926,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__altitude (MASL),0.1885982857881681,0.08856396841495334,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__regularly dewormed_no,0.1611398755561328,0.10375812465245027,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__hospitalization time (days)__missing,0.1577887571820082,0.07325882112648924,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__regularly vaccinated_no,0.14726844108289544,0.1279461787117997,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_EKH,0.14115972684462036,0.04705756131466695,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__urban or rural region_small town,0.13312980931623125,0.06268630682051744,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__fecal examination_Missing,0.10398987865648746,0.07199909249640213,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__regularly vaccinated_Missing,0.10016741872656468,0.1298349819995921,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__urban or rural region_village,0.09527776209896284,0.07612037881659958,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__sex_F,0.09353168716252426,0.08645276759465287,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Albumin interpretation_physiological,0.08595270185115944,0.06047436526567787,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Albumin interpretation_upper limit,0.07713652285130018,0.1081544808701488,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__regularly dewormed_Missing,0.07123666183849586,0.03326241515746871,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__hematocrit interpretation_decreased,0.0703553875035659,0.06497443491770379,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_lower limit,0.07033895307018964,0.03220590305066998,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__lymphocyte count interpreatation_lower limit,0.06292470219459023,0.0766020685807873,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_physiological,0.054787619413335764,0.05975809345855955,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__neuter status_neutered,0.05138862715247126,0.038453643929940225,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BARF diet_Missing,0.04975375170954742,0.08638630075980383,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_lower limit,0.049082459635583414,0.0602756923144959,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__travel history_Missing,0.04873896707869168,0.050728426014530606,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__initial total protein interpreatation_physiological,0.04619736230854925,0.04640983285213298,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BUN interpreattion_physiological,0.0443176762732712,0.04003035212631733,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__left shift_no,0.04120077363251477,0.03304470600631794,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_physiological,0.03848522877592194,0.04887344087550572,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BUN interpreattion_lower limit,0.03793724874111766,0.0677427124105924,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__initial total protein interpreatation_upper limit,0.035897185430160315,0.05952153389392282,5
