disease,feature_block,rank_within_group,feature,mean_abs_shap,std_abs_shap
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__neutrophil count (x 10^9/L),1.3900530246534422,0.2649566832149239
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__body weight,1.2851427091754402,0.21234318494404275
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__leukocyte count,1.00591488096047,0.27126350045434683
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__hospitalization time (days),0.9468802145995026,0.283810162713822
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__CREA concentration ,0.8118989647889373,0.3049622606044161
acute flare-up of triaditis/chronic enteropathy,clinical_only,6,cat__regularly dewormed_yes,0.7467136669214964,0.4213920337972159
acute flare-up of triaditis/chronic enteropathy,clinical_only,7,num__K value,0.6765069127513034,0.16292455264480188
acute flare-up of triaditis/chronic enteropathy,clinical_only,8,num__lymphocyte count,0.605210321876038,0.2829690515880333
acute flare-up of triaditis/chronic enteropathy,clinical_only,9,cat__neuter status_intact,0.5396534538028475,0.1529610633950749
acute flare-up of triaditis/chronic enteropathy,clinical_only,10,num__Na value,0.5333934976490922,0.2055545012129881
acute flare-up of triaditis/chronic enteropathy,clinical_only,11,num__BUN concentration,0.4953859906751458,0.17303905814448994
acute flare-up of triaditis/chronic enteropathy,clinical_only,12,num__Initial total protein concentration (in g/l),0.4574615520180477,0.10469245307700736
acute flare-up of triaditis/chronic enteropathy,clinical_only,13,num__Albumin concentration (in g/l),0.44263044289483283,0.1550434762157301
acute flare-up of triaditis/chronic enteropathy,clinical_only,14,cat__Na interpreatation_decreased,0.43022426987193274,0.2047285553213965
acute flare-up of triaditis/chronic enteropathy,clinical_only,15,num__initial hematocrit,0.42385725689899256,0.1192332108029042
acute flare-up of triaditis/chronic enteropathy,clinical_only,16,num__Cl value,0.36936050062315184,0.19412205726819018
acute flare-up of triaditis/chronic enteropathy,clinical_only,17,cat__hematocrit interpretation_lower limit,0.29973856261834314,0.31003734506539926
acute flare-up of triaditis/chronic enteropathy,clinical_only,18,num__altitude (MASL),0.1885982857881681,0.08856396841495334
acute flare-up of triaditis/chronic enteropathy,clinical_only,19,cat__regularly dewormed_no,0.1611398755561328,0.10375812465245027
acute flare-up of triaditis/chronic enteropathy,clinical_only,20,num__hospitalization time (days)__missing,0.1577887571820082,0.07325882112648924
acute flare-up of triaditis/chronic enteropathy,combined,1,num__neutrophil count (x 10^9/L),1.0541054926896778,0.39134550781047134
acute flare-up of triaditis/chronic enteropathy,combined,2,num__body weight,0.813205665763447,0.24206918972202557
acute flare-up of triaditis/chronic enteropathy,combined,3,num__hospitalization time (days),0.7930024732812038,0.3782718216342925
acute flare-up of triaditis/chronic enteropathy,combined,4,cat__regularly dewormed_yes,0.7671213192423313,0.3676844960631475
acute flare-up of triaditis/chronic enteropathy,combined,5,num__leukocyte count,0.7585411029169056,0.45024763140159074
