cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,21,26.923076923076923,23.595505617977526
1,acute gastroenteritis,32,41.02564102564102,53.333333333333336
1,acute pancreatitis,13,16.666666666666664,10.483870967741936
1,parvovirus enteritis,12,15.384615384615385,29.268292682926827
2,acute flare-up of triaditis/chronic enteropathy,9,30.0,10.112359550561797
2,acute gastroenteritis,3,10.0,5.0
2,acute pancreatitis,17,56.666666666666664,13.709677419354838
2,parvovirus enteritis,1,3.3333333333333335,2.4390243902439024
3,acute flare-up of triaditis/chronic enteropathy,28,33.734939759036145,31.46067415730337
3,acute gastroenteritis,10,12.048192771084338,16.666666666666664
3,acute pancreatitis,42,50.602409638554214,33.87096774193548
3,parvovirus enteritis,3,3.614457831325301,7.317073170731707
4,acute flare-up of triaditis/chronic enteropathy,31,25.203252032520325,34.831460674157306
4,acute gastroenteritis,15,12.195121951219512,25.0
4,acute pancreatitis,52,42.27642276422765,41.935483870967744
4,parvovirus enteritis,25,20.32520325203252,60.97560975609756
