cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,14,24.561403508771928,15.730337078651685
1,acute gastroenteritis,30,52.63157894736842,50.0
1,acute pancreatitis,7,12.280701754385964,5.64516129032258
1,parvovirus enteritis,6,10.526315789473683,14.634146341463413
2,acute flare-up of triaditis/chronic enteropathy,10,30.303030303030305,11.235955056179774
2,acute gastroenteritis,3,9.090909090909092,5.0
2,acute pancreatitis,16,48.484848484848484,12.903225806451612
2,parvovirus enteritis,4,12.121212121212121,9.75609756097561
3,acute flare-up of triaditis/chronic enteropathy,33,31.132075471698112,37.07865168539326
3,acute gastroenteritis,13,12.264150943396226,21.666666666666668
3,acute pancreatitis,56,52.83018867924528,45.16129032258064
3,parvovirus enteritis,4,3.7735849056603774,9.75609756097561
4,acute flare-up of triaditis/chronic enteropathy,32,27.11864406779661,35.95505617977528
4,acute gastroenteritis,14,11.864406779661017,23.333333333333332
4,acute pancreatitis,45,38.13559322033898,36.29032258064516
4,parvovirus enteritis,27,22.88135593220339,65.85365853658537
