cluster,diagnosis,count,row_pct,col_pct
0,acute flare-up of triaditis/chronic enteropathy,1,14.285714285714285,1.1235955056179776
0,acute gastroenteritis,2,28.57142857142857,3.3333333333333335
0,acute pancreatitis,1,14.285714285714285,0.8064516129032258
0,parvovirus enteritis,3,42.857142857142854,7.317073170731707
1,acute flare-up of triaditis/chronic enteropathy,15,34.883720930232556,16.853932584269664
1,acute gastroenteritis,3,6.976744186046512,5.0
1,acute pancreatitis,22,51.162790697674424,17.741935483870968
1,parvovirus enteritis,3,6.976744186046512,7.317073170731707
2,acute flare-up of triaditis/chronic enteropathy,17,26.984126984126984,19.101123595505616
2,acute gastroenteritis,29,46.03174603174603,48.333333333333336
2,acute pancreatitis,9,14.285714285714285,7.258064516129033
2,parvovirus enteritis,8,12.698412698412698,19.51219512195122
3,acute flare-up of triaditis/chronic enteropathy,24,25.0,26.96629213483146
3,acute gastroenteritis,15,15.625,25.0
3,acute pancreatitis,53,55.208333333333336,42.74193548387097
3,parvovirus enteritis,4,4.166666666666666,9.75609756097561
4,acute flare-up of triaditis/chronic enteropathy,26,29.545454545454547,29.213483146067414
4,acute gastroenteritis,8,9.090909090909092,13.333333333333334
4,acute pancreatitis,31,35.22727272727273,25.0
4,parvovirus enteritis,23,26.136363636363637,56.09756097560976
5,acute flare-up of triaditis/chronic enteropathy,6,35.294117647058826,6.741573033707865
5,acute gastroenteritis,3,17.647058823529413,5.0
5,acute pancreatitis,8,47.05882352941176,6.451612903225806
5,parvovirus enteritis,0,0.0,0.0
