cluster,diagnosis,count,row_pct,col_pct
0,acute flare-up of triaditis/chronic enteropathy,33,28.695652173913043,37.07865168539326
0,acute gastroenteritis,25,21.73913043478261,41.66666666666667
0,acute pancreatitis,47,40.869565217391305,37.903225806451616
0,parvovirus enteritis,10,8.695652173913043,24.390243902439025
1,acute flare-up of triaditis/chronic enteropathy,31,37.80487804878049,34.831460674157306
1,acute gastroenteritis,10,12.195121951219512,16.666666666666664
1,acute pancreatitis,32,39.02439024390244,25.806451612903224
1,parvovirus enteritis,9,10.975609756097562,21.951219512195124
2,acute flare-up of triaditis/chronic enteropathy,6,42.857142857142854,6.741573033707865
2,acute gastroenteritis,1,7.142857142857142,1.6666666666666667
2,acute pancreatitis,6,42.857142857142854,4.838709677419355
2,parvovirus enteritis,1,7.142857142857142,2.4390243902439024
3,acute flare-up of triaditis/chronic enteropathy,19,18.446601941747574,21.34831460674157
3,acute gastroenteritis,24,23.300970873786408,40.0
3,acute pancreatitis,39,37.86407766990291,31.451612903225808
3,parvovirus enteritis,21,20.388349514563107,51.21951219512195
