block,pc,rank,feature,loading_signed,loading_abs
environmental_only,PC1,1,precipitation_hours__mean_7d,0.32378609728993196,0.32378609728993196
environmental_only,PC1,2,precipitation_hours__mean_13d,0.3021200211782529,0.3021200211782529
environmental_only,PC1,3,precipitation_hours__peak_7d,0.289980850867614,0.289980850867614
environmental_only,PC1,4,precipitation_hours__mean_2d,0.2801556041518894,0.2801556041518894
environmental_only,PC1,5,precipitation_sum__mean_7d,0.2752467684342363,0.2752467684342363
environmental_only,PC1,6,precipitation_sum__mean_13d,0.25042697772834965,0.25042697772834965
environmental_only,PC1,7,precipitation_hours__day1,0.23881219905075896,0.23881219905075896
environmental_only,PC1,8,precipitation_hours__peak_14d,0.2342641546122376,0.2342641546122376
environmental_only,PC1,9,precipitation_sum__mean_2d,0.20800080327630321,0.20800080327630321
environmental_only,PC1,10,wind_gusts_10m_max__mean_7d,0.17889555436579532,0.17889555436579532
environmental_only,PC1,11,wind_gusts_10m_max__mean_13d,0.17844730682041646,0.17844730682041646
environmental_only,PC1,12,precipitation_sum__day1,0.16857473204453605,0.16857473204453605
environmental_only,PC1,13,snowfall_sum__mean_7d,0.1544051812750508,0.1544051812750508
environmental_only,PC1,14,wind_gusts_10m_max__peak_14d,0.15419864660891452,0.15419864660891452
environmental_only,PC1,15,surface_pressure_max__mean_13d,-0.1534260067786897,0.1534260067786897
environmental_only,PC1,16,surface_pressure_max__day1,-0.15024715879498113,0.15024715879498113
environmental_only,PC1,17,precipitation_sum__peak_14d,0.1484238014798023,0.1484238014798023
environmental_only,PC1,18,snowfall_sum__mean_3d,0.14062662040777063,0.14062662040777063
environmental_only,PC1,19,snowfall_sum__mean_13d,0.13985585942828155,0.13985585942828155
environmental_only,PC1,20,wind_gusts_10m_max__day1,0.1386184707161309,0.1386184707161309
environmental_only,PC2,1,snowfall_sum__mean_3d,0.35338969369864726,0.35338969369864726
environmental_only,PC2,2,snowfall_sum__mean_2d,0.3427600975138453,0.3427600975138453
environmental_only,PC2,3,snowfall_sum__mean_7d,0.320525329791551,0.320525329791551
environmental_only,PC2,4,snowfall_sum__mean_13d,0.31216258655709284,0.31216258655709284
environmental_only,PC2,5,apparent_temperature_max__day1,-0.2787552716181001,0.2787552716181001
environmental_only,PC2,6,snowfall_sum__day1,0.2638836724329656,0.2638836724329656
environmental_only,PC2,7,wind_direction_10m_dominant__mean_7d,-0.254867134113925,0.254867134113925
environmental_only,PC2,8,wind_direction_10m_dominant__mean_13d,-0.25483038553066545,0.25483038553066545
environmental_only,PC2,9,daylight_duration__day1,-0.24418958682927483,0.24418958682927483
environmental_only,PC2,10,wind_direction_10m_dominant__day1,-0.2336269469893786,0.2336269469893786
environmental_only,PC2,11,wind_direction_10m_dominant__peak_7d,-0.19376913846570543,0.19376913846570543
environmental_only,PC2,12,precipitation_sum__peak_14d,-0.15895431416842548,0.15895431416842548
environmental_only,PC2,13,wind_direction_10m_dominant__peak_14d,-0.15840960166259271,0.15840960166259271
environmental_only,PC2,14,precipitation_sum__mean_13d,-0.1335620096309995,0.1335620096309995
environmental_only,PC2,15,wind_gusts_10m_max__mean_7d,-0.12272710079196374,0.12272710079196374
environmental_only,PC2,16,precipitation_sum__mean_7d,-0.10877052473910791,0.10877052473910791
environmental_only,PC2,17,wind_gusts_10m_max__mean_13d,-0.10853933433258933,0.10853933433258933
environmental_only,PC2,18,wind_gusts_10m_max__peak_14d,-0.07326272506623165,0.07326272506623165
environmental_only,PC2,19,wind_gusts_10m_max__day1,-0.06336606114183746,0.06336606114183746
environmental_only,PC2,20,precipitation_sum__day1,-0.06270232994145926,0.06270232994145926
environmental_only,PC3,1,wind_gusts_10m_max__mean_7d,0.3961350432232437,0.3961350432232437
environmental_only,PC3,2,wind_gusts_10m_max__day1,0.359212838828018,0.359212838828018
environmental_only,PC3,3,wind_gusts_10m_max__mean_13d,0.35126475378022687,0.35126475378022687
environmental_only,PC3,4,wind_gusts_10m_max__peak_14d,0.34982566302493234,0.34982566302493234
environmental_only,PC3,5,precipitation_sum__peak_14d,-0.3285920975247577,0.3285920975247577
environmental_only,PC3,6,precipitation_sum__mean_13d,-0.2622888359668036,0.2622888359668036
environmental_only,PC3,7,precipitation_hours__peak_14d,-0.22910572814753136,0.22910572814753136
environmental_only,PC3,8,wind_direction_10m_dominant__peak_7d,-0.20162852484036134,0.20162852484036134
environmental_only,PC3,9,wind_direction_10m_dominant__peak_14d,-0.1834016925324629,0.1834016925324629
environmental_only,PC3,10,precipitation_sum__mean_7d,-0.1682911961853166,0.1682911961853166
environmental_only,PC3,11,precipitation_hours__peak_7d,-0.14291510692380602,0.14291510692380602
environmental_only,PC3,12,apparent_temperature_max__day1,-0.13917026454467685,0.13917026454467685
environmental_only,PC3,13,moon_phase_cos,-0.13644684825593223,0.13644684825593223
environmental_only,PC3,14,precipitation_hours__day1,0.12651810096255867,0.12651810096255867
environmental_only,PC3,15,precipitation_hours__mean_13d,-0.11433486093569885,0.11433486093569885
environmental_only,PC3,16,precipitation_hours__mean_2d,0.09354626915133389,0.09354626915133389
environmental_only,PC3,17,daylight_duration__day1,-0.08852543699749696,0.08852543699749696
environmental_only,PC3,18,precipitation_hours__mean_7d,-0.0774958715156689,0.0774958715156689
environmental_only,PC3,19,precipitation_sum__day1,0.07586195261368452,0.07586195261368452
environmental_only,PC3,20,wind_direction_10m_dominant__day1,0.06614146359632349,0.06614146359632349
environmental_only,PC4,1,precipitation_sum__day1,0.35604277638510523,0.35604277638510523
environmental_only,PC4,2,wind_direction_10m_dominant__mean_13d,-0.3514197479183217,0.3514197479183217
environmental_only,PC4,3,precipitation_sum__mean_2d,0.34293476162453634,0.34293476162453634
environmental_only,PC4,4,wind_direction_10m_dominant__mean_7d,-0.33604709495403656,0.33604709495403656
environmental_only,PC4,5,precipitation_hours__day1,0.27196951491735094,0.27196951491735094
environmental_only,PC4,6,wind_direction_10m_dominant__peak_7d,-0.2284382868161391,0.2284382868161391
environmental_only,PC4,7,surface_pressure_max__day1,-0.22029658374126843,0.22029658374126843
environmental_only,PC4,8,precipitation_hours__mean_2d,0.20942223807057087,0.20942223807057087
environmental_only,PC4,9,wind_gusts_10m_max__peak_14d,-0.20041042122494296,0.20041042122494296
environmental_only,PC4,10,snowfall_sum__mean_13d,-0.18343487674811226,0.18343487674811226
environmental_only,PC4,11,daylight_duration__day1,0.1762013721344137,0.1762013721344137
environmental_only,PC4,12,apparent_temperature_max__day1,0.17540256067694668,0.17540256067694668
environmental_only,PC4,13,wind_gusts_10m_max__mean_13d,-0.15749601528750168,0.15749601528750168
environmental_only,PC4,14,snowfall_sum__mean_7d,-0.15242033266689375,0.15242033266689375
environmental_only,PC4,15,wind_direction_10m_dominant__peak_14d,-0.14331088802924388,0.14331088802924388
environmental_only,PC4,16,wind_direction_10m_dominant__day1,-0.14327934551522187,0.14327934551522187
environmental_only,PC4,17,precipitation_sum__mean_7d,0.12839858084089706,0.12839858084089706
environmental_only,PC4,18,precipitation_hours__mean_13d,-0.12002076344644383,0.12002076344644383
environmental_only,PC4,19,snowfall_sum__mean_3d,-0.11188529566944541,0.11188529566944541
environmental_only,PC4,20,surface_pressure_max__mean_13d,-0.0985626737771074,0.0985626737771074
environmental_only,PC5,1,wind_direction_10m_dominant__peak_14d,0.3671859396668059,0.3671859396668059
environmental_only,PC5,2,wind_direction_10m_dominant__peak_7d,0.33582926015864756,0.33582926015864756
environmental_only,PC5,3,snowfall_sum__day1,0.25552733551903806,0.25552733551903806
environmental_only,PC5,4,precipitation_hours__day1,0.25130382233729825,0.25130382233729825
environmental_only,PC5,5,snowfall_sum__mean_2d,0.23836902386039308,0.23836902386039308
environmental_only,PC5,6,precipitation_hours__mean_2d,0.22081000532802836,0.22081000532802836
environmental_only,PC5,7,precipitation_sum__day1,0.20928630295482162,0.20928630295482162
environmental_only,PC5,8,wind_direction_10m_dominant__mean_7d,0.2065634166653647,0.2065634166653647
environmental_only,PC5,9,precipitation_sum__mean_13d,-0.1996110115504433,0.1996110115504433
environmental_only,PC5,10,wind_direction_10m_dominant__mean_13d,0.19568207927319997,0.19568207927319997
environmental_only,PC5,11,precipitation_sum__peak_14d,-0.1850907095868909,0.1850907095868909
environmental_only,PC5,12,snowfall_sum__mean_3d,0.18455250193348005,0.18455250193348005
environmental_only,PC5,13,precipitation_hours__peak_14d,-0.17800278870177239,0.17800278870177239
environmental_only,PC5,14,daylight_duration__day1,0.17411312807251583,0.17411312807251583
environmental_only,PC5,15,precipitation_sum__mean_2d,0.17366028388231494,0.17366028388231494
environmental_only,PC5,16,precipitation_hours__mean_13d,-0.17334927782410012,0.17334927782410012
environmental_only,PC5,17,surface_pressure_max__mean_13d,0.15816808284050718,0.15816808284050718
environmental_only,PC5,18,wind_direction_10m_dominant__day1,0.15498705267390062,0.15498705267390062
environmental_only,PC5,19,wind_gusts_10m_max__peak_14d,-0.15292335550193548,0.15292335550193548
environmental_only,PC5,20,wind_gusts_10m_max__mean_13d,-0.14325832085001688,0.14325832085001688
environmental_only,PC6,1,surface_pressure_max__mean_13d,0.5103830600604932,0.5103830600604932
environmental_only,PC6,2,surface_pressure_max__day1,0.45039827199580657,0.45039827199580657
environmental_only,PC6,3,daylight_duration__day1,-0.3861798112590783,0.3861798112590783
environmental_only,PC6,4,apparent_temperature_max__day1,-0.32037429827644753,0.32037429827644753
environmental_only,PC6,5,precipitation_hours__peak_14d,0.19587040123898114,0.19587040123898114
environmental_only,PC6,6,precipitation_sum__day1,0.19132671781270122,0.19132671781270122
environmental_only,PC6,7,snowfall_sum__mean_7d,-0.16805763528852563,0.16805763528852563
environmental_only,PC6,8,precipitation_sum__mean_2d,0.15227377440634043,0.15227377440634043
environmental_only,PC6,9,moon_phase_sin,0.14978831828183012,0.14978831828183012
environmental_only,PC6,10,snowfall_sum__mean_13d,-0.1368091614359441,0.1368091614359441
environmental_only,PC6,11,wind_gusts_10m_max__mean_13d,-0.12840113124503622,0.12840113124503622
environmental_only,PC6,12,precipitation_sum__peak_14d,0.12507891926079467,0.12507891926079467
environmental_only,PC6,13,precipitation_hours__day1,0.12288459269732528,0.12288459269732528
environmental_only,PC6,14,snowfall_sum__mean_2d,-0.10826477836888883,0.10826477836888883
environmental_only,PC6,15,wind_direction_10m_dominant__peak_14d,-0.10634302571148127,0.10634302571148127
environmental_only,PC6,16,snowfall_sum__mean_3d,-0.10129002297715853,0.10129002297715853
environmental_only,PC6,17,wind_gusts_10m_max__mean_7d,-0.09744980325156186,0.09744980325156186
environmental_only,PC6,18,precipitation_hours__peak_7d,0.08151041001133663,0.08151041001133663
