block,component,explained_variance_ratio,cumulative_variance_ratio
clinical_only,PC1,0.38132471182154903,0.38132471182154903
clinical_only,PC2,0.10027653966422209,0.48160125148577115
clinical_only,PC3,0.07750459404872383,0.5591058455344949
clinical_only,PC4,0.06269388269019706,0.621799728224692
clinical_only,PC5,0.056651120564414334,0.6784508487891063
clinical_only,PC6,0.04531265576444899,0.7237635045535553
clinical_only,PC7,0.03843747180362235,0.7622009763571777
clinical_only,PC8,0.03455387212102781,0.7967548484782054
clinical_only,PC9,0.03373239312501736,0.8304872416032227
clinical_only,PC10,0.032214711878455315,0.862701953481678
clinical_only,PC11,0.027413403248975187,0.8901153567306532
clinical_only,PC12,0.023752097319475838,0.913867454050129
clinical_only,PC13,0.021092234643696906,0.934959688693826
clinical_only,PC14,0.019211068853834567,0.9541707575476606
clinical_only,PC15,0.01007138009494588,0.9642421376426065
clinical_only,PC16,0.009443764605333044,0.9736859022479395
clinical_only,PC17,0.00753608144290589,0.9812219836908453
clinical_only,PC18,0.006756594772132492,0.9879785784629779
clinical_only,PC19,0.00419171560022893,0.9921702940632068
clinical_only,PC20,0.003049293924928989,0.9952195879881358
