block,component,explained_variance_ratio,cumulative_variance_ratio
combined,PC1,0.18956090174616066,0.18956090174616066
combined,PC2,0.12024210695212677,0.3098030086982874
combined,PC3,0.07247115194932889,0.3822741606476163
combined,PC4,0.05092904254375495,0.4332032031913713
combined,PC5,0.04792259981028848,0.48112580300165975
combined,PC6,0.04622745663141155,0.5273532596330713
combined,PC7,0.04378485772837043,0.5711381173614418
combined,PC8,0.03608912277081268,0.6072272401322545
combined,PC9,0.034575199166236505,0.641802439298491
combined,PC10,0.03130473652033437,0.6731071758188254
combined,PC11,0.025995218476687443,0.6991023942955128
combined,PC12,0.02411564793937268,0.7232180422348855
combined,PC13,0.020668265099392843,0.7438863073342783
combined,PC14,0.018939416546480632,0.762825723880759
combined,PC15,0.017241187169506882,0.7800669110502658
combined,PC16,0.016327676895470024,0.7963945879457358
combined,PC17,0.015856620205750734,0.8122512081514865
combined,PC18,0.014907714157379397,0.8271589223088659
combined,PC19,0.014184237654137875,0.8413431599630038
combined,PC20,0.01344858718928857,0.8547917471522923
