analysis_level,disease,stratum,metric,level,window_deg,exposure_n,case_n,risk,baseline_risk,rr,rr_ci_low,rr_ci_high,ci_excludes_1
overall_category,acute flare-up of triaditis/chronic enteropathy,overall,moon_category,full,,38,12,0.3157894736842105,0.2857142857142857,1.105263157894737,0.5647103297857003,1.9885906579707622,False
overall_category,acute flare-up of triaditis/chronic enteropathy,overall,moon_category,new,,45,18,0.4,0.2857142857142857,1.4000000000000001,0.7996635802651374,2.28578727986296,False
overall_category,acute flare-up of triaditis/chronic enteropathy,overall,moon_category,waning,,123,32,0.2601626016260163,0.2857142857142857,0.9105691056910571,0.564373945584114,1.4420047535056781,False
overall_category,acute flare-up of triaditis/chronic enteropathy,overall,moon_category,waxing,,109,28,0.25688073394495414,0.2857142857142857,0.8990825688073395,0.5448093066118911,1.4506957084458423,False
overall_window,acute flare-up of triaditis/chronic enteropathy,overall,near_full,yes,15.0,22,7,0.3181818181818182,0.2857142857142857,1.1136363636363638,0.4841058689251773,2.2075683880709804,False
overall_window,acute flare-up of triaditis/chronic enteropathy,overall,near_full,yes,30.0,45,12,0.26666666666666666,0.2857142857142857,0.9333333333333333,0.4723988773317312,1.7196962874200261,False
overall_window,acute flare-up of triaditis/chronic enteropathy,overall,near_new,yes,15.0,28,9,0.32142857142857145,0.2857142857142857,1.1250000000000002,0.53064107684432,2.1229108383033073,False
overall_window,acute flare-up of triaditis/chronic enteropathy,overall,near_new,yes,30.0,50,19,0.38,0.2857142857142857,1.33,0.7652773838169836,2.1727055623879803,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_intact,moon_category,full,,2,0,0.0,0.10256410256410256,0.0,0.0,16.192687665264714,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_intact,moon_category,new,,4,0,0.0,0.10256410256410256,0.0,0.0,12.06274284143674,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_intact,moon_category,waning,,22,3,0.13636363636363635,0.10256410256410256,1.3295454545454546,0.20140316811999542,8.208133991989103,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_intact,moon_category,waxing,,11,1,0.09090909090909091,0.10256410256410256,0.8863636363636365,0.06883940376244486,9.291798826506035,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_neutered,moon_category,full,,11,7,0.6363636363636364,0.37894736842105264,1.6792929292929293,0.7379868927315865,2.946676058337178,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_neutered,moon_category,new,,12,5,0.4166666666666667,0.37894736842105264,1.099537037037037,0.4031169392261837,2.3636710840004636,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_neutered,moon_category,waning,,36,12,0.3333333333333333,0.37894736842105264,0.8796296296296295,0.4216539409662941,1.7251442988532977,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,female_neutered,moon_category,waxing,,36,12,0.3333333333333333,0.37894736842105264,0.8796296296296295,0.4216539409662941,1.7251442988532977,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,male_intact,moon_category,full,,5,1,0.2,0.1568627450980392,1.2750000000000001,0.12931897492427757,7.6442907655168595,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,male_intact,moon_category,new,,7,2,0.2857142857142857,0.1568627450980392,1.8214285714285714,0.29352047988129343,7.847484769353499,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,male_intact,moon_category,waning,,19,2,0.10526315789473684,0.1568627450980392,0.6710526315789473,0.10480970697911968,3.8430734114254044,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,male_intact,moon_category,waxing,,20,3,0.15,0.1568627450980392,0.9562499999999999,0.1869563283253567,4.4120178930705265,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,male_neutered,moon_category,full,,20,4,0.2,0.32558139534883723,0.6142857142857143,0.1964970294726898,1.6589138291471905,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,male_neutered,moon_category,new,,22,11,0.5,0.32558139534883723,1.5357142857142856,0.7484523062695815,2.7625133537351556,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,male_neutered,moon_category,waning,,46,15,0.32608695652173914,0.32558139534883723,1.0015527950310559,0.5083369862772443,1.8754531877180471,False
stratified_category,acute flare-up of triaditis/chronic enteropathy,male_neutered,moon_category,waxing,,41,12,0.2926829268292683,0.32558139534883723,0.8989547038327524,0.4289953012373287,1.7736594082495254,False
