model,disease,feature_block,fold,n_train,n_test,n_positive_train,n_positive_test,n_numeric_features,n_categorical_features,balanced_accuracy,recall,precision,f1,roc_auc
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,1,252,63,72,18,27,25,0.5944444444444444,0.3888888888888889,0.4375,0.4117647058823529,0.6753086419753087
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,2,252,63,72,18,27,25,0.6,0.3333333333333333,0.5,0.4,0.7432098765432099
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,3,252,63,72,18,27,25,0.6,0.3333333333333333,0.5,0.4,0.6222222222222222
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,4,252,63,72,18,27,25,0.5444444444444445,0.2222222222222222,0.4,0.2857142857142857,0.562962962962963
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,5,252,63,72,18,27,25,0.538888888888889,0.2777777777777778,0.35714285714285715,0.3125,0.6234567901234568
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,1,252,63,72,18,31,5,0.45,0.05555555555555555,0.125,0.07692307692307693,0.5777777777777778
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,2,252,63,72,18,31,5,0.5888888888888889,0.3333333333333333,0.46153846153846156,0.3870967741935484,0.5666666666666667
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,3,252,63,72,18,31,5,0.46111111111111114,0.05555555555555555,0.14285714285714285,0.08,0.408641975308642
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,4,252,63,72,18,31,5,0.5111111111111111,0.2222222222222222,0.3076923076923077,0.25806451612903225,0.5333333333333333
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,5,252,63,72,18,31,5,0.4611111111111111,0.16666666666666666,0.21428571428571427,0.1875,0.4506172839506173
