outcome_class,feature,coef,odds_ratio,ci95_low,ci95_high,direction,abs_log_or
acute flare-up of triaditis/chronic enteropathy,wind_gusts_10m_max__peak_14d,0.29908330259580984,1.3486219625040219,0.9348278189732133,2.1287056585351007,positive,0.2990833025958098
acute flare-up of triaditis/chronic enteropathy,wind_direction_10m_dominant__day1,-0.26935048245389803,0.7638754837722429,0.5434131558178014,1.0270497254165953,negative,0.269350482453898
acute flare-up of triaditis/chronic enteropathy,surface_pressure_max__day1,0.22678280772864443,1.2545573581856742,0.8394400362433558,1.9092037073728807,positive,0.2267828077286445
acute flare-up of triaditis/chronic enteropathy,wind_direction_10m_dominant__mean_7d,-0.19172283613944777,0.8255356454323793,0.5304894182435287,1.3955358032162704,negative,0.19172283613944774
acute flare-up of triaditis/chronic enteropathy,wind_direction_10m_dominant__mean_13d,0.18265206451044655,1.200396674808222,0.7231585499505968,1.9324533092360232,positive,0.1826520645104466
acute flare-up of triaditis/chronic enteropathy,precipitation_sum__mean_13d,-0.15412036731261702,0.8571688396920601,0.644611929366291,1.1096580619378322,negative,0.15412036731261705
acute flare-up of triaditis/chronic enteropathy,wind_gusts_10m_max__mean_13d,-0.14505818526012715,0.8649719630278495,0.5281416913250911,1.2695101772268247,negative,0.14505818526012718
acute flare-up of triaditis/chronic enteropathy,wind_gusts_10m_max__day1,-0.10302887110368598,0.9021009284561032,0.6329959396542449,1.2294779438733052,negative,0.10302887110368604
acute flare-up of triaditis/chronic enteropathy,moon_phase_cos,0.06282128996366625,1.0648365252521856,0.7839871730594851,1.3995821626228322,positive,0.0628212899636663
acute flare-up of triaditis/chronic enteropathy,moon_phase_sin,-0.040286057735414924,0.9605146372076336,0.7225980660364828,1.2500697660060265,negative,0.040286057735414896
acute flare-up of triaditis/chronic enteropathy,daylight_duration__day1,0.03526840756673271,1.03589771427344,0.7795158070607792,1.3299933729379874,positive,0.03526840756673276
acute flare-up of triaditis/chronic enteropathy,surface_pressure_max__mean_13d,-0.007972675473961554,0.9920590220092922,0.6352922933146269,1.4946790688889096,negative,0.007972675473961558
acute gastroenteritis,wind_gusts_10m_max__peak_14d,-0.5604051315079448,0.5709776959298076,0.31025741417316105,0.951427493450699,negative,0.5604051315079448
acute gastroenteritis,surface_pressure_max__mean_13d,0.5208538599057989,1.683464479007582,0.9867098173262626,2.939277512191558,positive,0.5208538599057989
acute gastroenteritis,surface_pressure_max__day1,-0.5065114980523815,0.6025940669703477,0.3610852148845177,0.968610584300717,negative,0.5065114980523816
acute gastroenteritis,wind_direction_10m_dominant__mean_13d,0.48471946492028406,1.623719434683905,0.9948686327276128,3.2324338663579613,positive,0.484719464920284
acute gastroenteritis,wind_direction_10m_dominant__day1,0.28264690376800206,1.3266366487050294,0.9025412590510943,2.005389355719331,positive,0.282646903768002
acute gastroenteritis,precipitation_sum__mean_13d,0.26781224983929425,1.3071017084199317,0.9914369895857869,1.8170524139725814,positive,0.26781224983929425
acute gastroenteritis,wind_direction_10m_dominant__mean_7d,-0.21337511876437062,0.8078530395372449,0.4493864004952352,1.5733318405096661,negative,0.2133751187643706
acute gastroenteritis,moon_phase_sin,0.16882027699773788,1.1839073444201693,0.9305889996383795,1.6403665678150114,positive,0.16882027699773794
acute gastroenteritis,wind_gusts_10m_max__mean_13d,0.1382823702750687,1.148299750216141,0.6665866873047326,1.8842774786918997,positive,0.13828237027506865
acute gastroenteritis,wind_gusts_10m_max__day1,-0.0763684497305223,0.9264747842801676,0.6521729390403259,1.3241784025669878,negative,0.0763684497305223
acute gastroenteritis,moon_phase_cos,-0.051373660470870955,0.9499236552886494,0.6244896920136201,1.3237554983135398,negative,0.05137366047087095
acute gastroenteritis,daylight_duration__day1,-0.04155205999227153,0.959299392922501,0.682439889666358,1.442651803479929,negative,0.04155205999227153
