component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.5162153708138395,0.5162153708138395
PC2,0.12185656269199169,0.6380719335058311
PC3,0.061116369133541786,0.6991883026393729
PC4,0.04980021181265593,0.7489885144520289
PC5,0.035560819447846156,0.784549333899875
PC6,0.033079274333196865,0.8176286082330719
PC7,0.02804619200405178,0.8456748002371237
PC8,0.021762928406497066,0.8674377286436208
PC9,0.014640518629435089,0.8820782472730558
PC10,0.013305998677307118,0.8953842459503629
PC11,0.011212390472791324,0.9065966364231542
PC12,0.008951598536206322,0.9155482349593606
PC13,0.008173463309098749,0.9237216982684593
PC14,0.007742401436165133,0.9314640997046244
PC15,0.006780973177531658,0.9382450728821561
PC16,0.005177347975968661,0.9434224208581248
PC17,0.00480766344727108,0.9482300843053959
PC18,0.004416949584951721,0.9526470338903477
PC19,0.004258068305530965,0.9569051021958787
PC20,0.003850540031995913,0.9607556422278746
