disease,feature_block,fold,feature_name,rank,mean_abs_shap_fold
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__neutrophil count (x 10^9/L),1.0,1.6796025411158741
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__body weight,2.0,1.4815882232549626
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__hospitalization time (days),3.0,1.066869990012243
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__leukocyte count,4.0,1.0263232456000209
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__Na value,5.0,0.7509923692404626
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__neuter status_intact,6.0,0.6949828667166982
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__initial hematocrit,7.0,0.677709312137159
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__CREA concentration ,8.0,0.6776866831283878
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__K value,9.0,0.6480336926475956
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__BUN concentration,10.0,0.5779736545325573
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Na interpreatation_decreased,11.0,0.5228598075588587
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__lymphocyte count,12.0,0.4830507415340982
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__fecal examination_Missing,13.0,0.345418972072057
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__Albumin concentration (in g/l),14.0,0.33254701369073497
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly dewormed_yes,15.0,0.3006642636448985
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__Initial total protein concentration (in g/l),16.0,0.27887060033017863
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__hematocrit interpretation_lower limit,17.0,0.26368622637013595
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly vaccinated_no,18.0,0.26081683049163035
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__Cl value,19.0,0.24922637894855332
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__hospitalization time (days)__missing,20.0,0.22418891679493685
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly vaccinated_Missing,21.0,0.21230451250012963
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__altitude (MASL),22.0,0.1804190081313056
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__breed_EKH,23.0,0.1335917613111534
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__leukocyte count interpreatation_upper limit,24.0,0.09987426440505283
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Na interpreatation_lower limit,25.0,0.09125849025776243
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__urban or rural region_village,26.0,0.09036407231387958
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Albumin interpretation_lower limit,27.0,0.0879752111209109
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly dewormed_no,28.0,0.0844418359484478
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__lymphocyte count interpreatation_lower limit,29.0,0.0815933229099572
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__CREA interpretation_physiological,30.0,0.0738639563234635
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__hematocrit interpretation_decreased,31.0,0.07230987705088993
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Albumin interpretation_upper limit,32.0,0.0718940264329846
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__urban or rural region_small town,33.0,0.07111347000001081
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__left shift_no,34.0,0.056927403529172284
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__neutrophil count interpretation_upper limit,35.0,0.05519812947263657
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Albumin interpretation_physiological,36.0,0.0539010573304373
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__BARF diet_Missing,37.0,0.0517460191034848
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__sex_F,38.0,0.046975849565829834
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__BUN interpreattion_physiological,39.0,0.043420994259287075
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__K interpreatation_lower limit,40.0,0.03512395741070862
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly vaccinated_yes,41.0,0.03303017285488914
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__CREA interpretation_lower limit,42.0,0.027684887895623532
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__initial hematocrit__missing,43.0,0.025738020413674692
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__leukocyte count interpreatation_physiological,44.0,0.025442434896279505
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__sex_M,45.0,0.023841647061140874
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__neutrophil count interpretation_physiological,46.0,0.022215846742590584
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__Albumin concentration (in g/l)__missing,47.0,0.018088965327861924
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__neuter status_neutered,48.0,0.017424989091409382
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly dewormed_Missing,49.0,0.0173488863442578
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Cl interpreatation_increased,50.0,0.015739364238850476
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__neutrophil count (x 10^9/L),1.0,1.5084936791030812
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__body weight,2.0,1.1719577742391438
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__leukocyte count,3.0,0.9975687752547882
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Na value,4.0,0.8379837750153616
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__hospitalization time (days),5.0,0.7541837742783051
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly dewormed_yes,6.0,0.7519065756759613
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__K value,7.0,0.6685392683143493
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__neuter status_intact,8.0,0.608465877454586
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__BUN concentration,9.0,0.5709928777384824
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__lymphocyte count,10.0,0.5469532753322738
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__CREA concentration ,11.0,0.5384649683370999
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Initial total protein concentration (in g/l),12.0,0.5232175711358809
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly dewormed_no,13.0,0.42546838886133803
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__initial hematocrit,14.0,0.4097859781456154
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Albumin concentration (in g/l),15.0,0.36236910728308547
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__Na interpreatation_decreased,16.0,0.27473737152231503
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__fecal examination_Missing,17.0,0.259734701984636
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__CREA interpretation_lower limit,18.0,0.2524211389445512
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Cl value,19.0,0.23174006488573648
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__BUN interpreattion_upper limit,20.0,0.22856662558848123
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__urban or rural region_small town,21.0,0.2044035723651248
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__CREA interpretation_physiological,22.0,0.19821446207578416
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__hematocrit interpretation_lower limit,23.0,0.18650299490068636
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__Albumin interpretation_upper limit,24.0,0.17889638545060896
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__breed_EKH,25.0,0.16500458629817577
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__urban or rural region_village,26.0,0.15182157629030787
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__leukocyte count interpreatation_upper limit,27.0,0.1478625750262881
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__altitude (MASL),28.0,0.1412644570063431
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__hospitalization time (days)__missing,29.0,0.12136059546747306
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__lymphocyte count interpreatation_physiological,30.0,0.10130896224621658
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly vaccinated_no,31.0,0.07765069876065471
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__neutrophil count interpretation_upper limit,32.0,0.0726633998350506
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__BARF diet_Missing,33.0,0.0629021584754423
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__hematocrit interpretation_physiological,34.0,0.061438786158784765
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__urban or rural region_city,35.0,0.059093263784352555
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__Albumin interpretation_physiological,36.0,0.05715955272787483
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__BUN interpreattion_physiological,37.0,0.05198322390631606
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__travel history_no,38.0,0.04573328064744234
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly vaccinated_yes,39.0,0.0396123482385587
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__lymphocyte count interpreatation_lower limit,40.0,0.03902549280249402
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly dewormed_Missing,41.0,0.027226899120716783
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__BUN interpreattion_lower limit,42.0,0.023032187523235867
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__travel history_Missing,43.0,0.02271040904531838
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__lymphocyte count__missing,44.0,0.021297007365951023
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__Cl interpreatation_upper limit,45.0,0.020355660119645385
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__left shift_Missing,46.0,0.018276380609162573
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__neuter status_neutered,47.0,0.017599584113180456
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__K interpreatation_lower limit,48.0,0.015914783657207405
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__initial total protein interpreatation_upper limit,49.0,0.015644688223172658
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__Na interpreatation_physiological,50.0,0.015303595703921214
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__neutrophil count (x 10^9/L),1.0,1.2777144355698613
