disease,feature_block,n_folds,n_fold_pairs,spearman_mean,spearman_std,jaccard_top10_mean,jaccard_top10_std,jaccard_top20_mean,jaccard_top20_std
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,10,0.6013973662083406,0.06833806028017302,0.5183150183150182,0.0734886543873219,0.7404479578392621,0.0505336841937375
acute flare-up of triaditis/chronic enteropathy,combined,5,10,0.49577471711555354,0.061456212351722765,0.3395604395604395,0.09866226305849955,0.42214194490056556,0.07872376920449321
acute flare-up of triaditis/chronic enteropathy,environmental_only,5,10,0.8153265385611095,0.03634983987023029,0.3869047619047619,0.11380659047380941,0.592154801720019,0.0922622012116269
acute gastroenteritis,clinical_only,5,10,0.5847645844058652,0.049927217961757996,0.4553113553113553,0.10101230269160477,0.5669696165348339,0.08911539543799443
acute gastroenteritis,combined,5,10,0.521399210851337,0.07331525326108912,0.45141525141525135,0.1516614302805953,0.47317867317867324,0.06376836173111644
acute gastroenteritis,environmental_only,5,10,0.8289305243803241,0.03240750646964897,0.582051282051282,0.10814583649837015,0.6750724637681158,0.05157013316129642
acute pancreatitis,clinical_only,5,10,0.5918868817850923,0.044602763885128446,0.4341575091575091,0.09242024530399814,0.5863196063196063,0.09979447976620853
acute pancreatitis,combined,5,10,0.44802859219262137,0.057503225995754165,0.3021708683473389,0.07055223177631746,0.4303594234628717,0.0527989152521951
acute pancreatitis,environmental_only,5,10,0.8331835645986205,0.03228619605277318,0.3583979745744451,0.10250011801160736,0.6634904226208573,0.08375084708481903
parvovirus enteritis,clinical_only,5,10,0.5165172450628325,0.07561860010971468,0.4341575091575091,0.09242024530399814,0.5182159347676589,0.07116343635539857
parvovirus enteritis,combined,5,10,0.38603570844745094,0.0653801715903967,0.44249084249084253,0.07632576198661929,0.4550724881759364,0.09683065071828961
parvovirus enteritis,environmental_only,5,10,0.7840719967887899,0.03071875731461006,0.48681318681318675,0.09436451673280127,0.555980605545823,0.0992235117900692
