cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,14,24.561403508771928,15.555555555555555
1,acute gastroenteritis,30,52.63157894736842,50.0
1,acute pancreatitis,7,12.280701754385964,5.64516129032258
1,parvovirus enteritis,6,10.526315789473683,14.634146341463413
2,acute flare-up of triaditis/chronic enteropathy,9,32.142857142857146,10.0
2,acute gastroenteritis,3,10.714285714285714,5.0
2,acute pancreatitis,15,53.57142857142857,12.096774193548388
2,parvovirus enteritis,1,3.571428571428571,2.4390243902439024
3,acute flare-up of triaditis/chronic enteropathy,8,34.78260869565217,8.88888888888889
3,acute gastroenteritis,2,8.695652173913043,3.3333333333333335
3,acute pancreatitis,7,30.434782608695656,5.64516129032258
3,parvovirus enteritis,6,26.08695652173913,14.634146341463413
4,acute flare-up of triaditis/chronic enteropathy,24,38.70967741935484,26.666666666666668
4,acute gastroenteritis,5,8.064516129032258,8.333333333333332
4,acute pancreatitis,27,43.54838709677419,21.774193548387096
4,parvovirus enteritis,6,9.67741935483871,14.634146341463413
5,acute flare-up of triaditis/chronic enteropathy,16,29.09090909090909,17.77777777777778
5,acute gastroenteritis,8,14.545454545454545,13.333333333333334
5,acute pancreatitis,30,54.54545454545454,24.193548387096776
5,parvovirus enteritis,1,1.8181818181818181,2.4390243902439024
6,acute flare-up of triaditis/chronic enteropathy,19,21.11111111111111,21.11111111111111
6,acute gastroenteritis,12,13.333333333333334,20.0
6,acute pancreatitis,38,42.22222222222222,30.64516129032258
6,parvovirus enteritis,21,23.333333333333332,51.21951219512195
