cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,17,24.637681159420293,18.88888888888889
1,acute gastroenteritis,31,44.927536231884055,51.66666666666667
1,acute pancreatitis,9,13.043478260869565,7.258064516129033
1,parvovirus enteritis,12,17.391304347826086,29.268292682926827
2,acute flare-up of triaditis/chronic enteropathy,4,33.33333333333333,4.444444444444445
2,acute gastroenteritis,0,0.0,0.0
2,acute pancreatitis,5,41.66666666666667,4.032258064516129
2,parvovirus enteritis,3,25.0,7.317073170731707
3,acute flare-up of triaditis/chronic enteropathy,39,28.05755395683453,43.333333333333336
3,acute gastroenteritis,16,11.510791366906476,26.666666666666668
3,acute pancreatitis,67,48.201438848920866,54.03225806451613
3,parvovirus enteritis,17,12.23021582733813,41.46341463414634
4,acute flare-up of triaditis/chronic enteropathy,30,31.57894736842105,33.33333333333333
4,acute gastroenteritis,13,13.684210526315791,21.666666666666668
4,acute pancreatitis,43,45.26315789473684,34.67741935483871
4,parvovirus enteritis,9,9.473684210526317,21.951219512195124
