cluster,diagnosis,count,row_pct,col_pct
0,acute flare-up of triaditis/chronic enteropathy,37,31.62393162393162,41.11111111111111
0,acute gastroenteritis,15,12.82051282051282,25.0
0,acute pancreatitis,62,52.991452991452995,50.0
0,parvovirus enteritis,3,2.564102564102564,7.317073170731707
1,acute flare-up of triaditis/chronic enteropathy,17,25.37313432835821,18.88888888888889
1,acute gastroenteritis,31,46.26865671641791,51.66666666666667
1,acute pancreatitis,8,11.940298507462686,6.451612903225806
1,parvovirus enteritis,11,16.417910447761194,26.82926829268293
2,acute flare-up of triaditis/chronic enteropathy,8,24.242424242424242,8.88888888888889
2,acute gastroenteritis,5,15.151515151515152,8.333333333333332
2,acute pancreatitis,18,54.54545454545454,14.516129032258066
2,parvovirus enteritis,2,6.0606060606060606,4.878048780487805
3,acute flare-up of triaditis/chronic enteropathy,28,28.57142857142857,31.11111111111111
3,acute gastroenteritis,9,9.183673469387756,15.0
3,acute pancreatitis,36,36.734693877551024,29.03225806451613
3,parvovirus enteritis,25,25.510204081632654,60.97560975609756
