block,pc,rank,feature,loading_signed,loading_abs
environmental_only,PC1,1,precipitation_hours__mean_7d,0.32399592548055844,0.32399592548055844
environmental_only,PC1,2,precipitation_hours__mean_13d,0.3022885984726448,0.3022885984726448
environmental_only,PC1,3,precipitation_hours__peak_7d,0.2901614668246223,0.2901614668246223
environmental_only,PC1,4,precipitation_hours__mean_2d,0.27994721780863263,0.27994721780863263
environmental_only,PC1,5,precipitation_sum__mean_7d,0.2753858207842432,0.2753858207842432
environmental_only,PC1,6,precipitation_sum__mean_13d,0.25053574686993246,0.25053574686993246
environmental_only,PC1,7,precipitation_hours__day1,0.23728024356864255,0.23728024356864255
environmental_only,PC1,8,precipitation_hours__peak_14d,0.2345216006863254,0.2345216006863254
environmental_only,PC1,9,precipitation_sum__mean_2d,0.2079415726138376,0.2079415726138376
environmental_only,PC1,10,wind_gusts_10m_max__mean_7d,0.17897114618169907,0.17897114618169907
environmental_only,PC1,11,wind_gusts_10m_max__mean_13d,0.17856701733211577,0.17856701733211577
environmental_only,PC1,12,precipitation_sum__day1,0.16819958269999166,0.16819958269999166
environmental_only,PC1,13,snowfall_sum__mean_7d,0.1546931700694622,0.1546931700694622
environmental_only,PC1,14,wind_gusts_10m_max__peak_14d,0.15430595441000566,0.15430595441000566
environmental_only,PC1,15,surface_pressure_max__mean_13d,-0.1536168233731117,0.1536168233731117
environmental_only,PC1,16,surface_pressure_max__day1,-0.15034638812570777,0.15034638812570777
environmental_only,PC1,17,precipitation_sum__peak_14d,0.1485972043203635,0.1485972043203635
environmental_only,PC1,18,snowfall_sum__mean_3d,0.14085749453743626,0.14085749453743626
environmental_only,PC1,19,snowfall_sum__mean_13d,0.14013047635665923,0.14013047635665923
environmental_only,PC1,20,wind_gusts_10m_max__day1,0.13805636432254903,0.13805636432254903
environmental_only,PC2,1,snowfall_sum__mean_3d,0.35338946111638553,0.35338946111638553
environmental_only,PC2,2,snowfall_sum__mean_2d,0.3426324049854174,0.3426324049854174
environmental_only,PC2,3,snowfall_sum__mean_7d,0.3207437572122671,0.3207437572122671
environmental_only,PC2,4,snowfall_sum__mean_13d,0.3124304425599693,0.3124304425599693
environmental_only,PC2,5,apparent_temperature_max__day1,-0.2787189044277341,0.2787189044277341
