block,component,explained_variance_ratio,cumulative_variance_ratio
environmental_only,PC1,0.23542344214160454,0.23542344214160454
environmental_only,PC2,0.13488542852603883,0.3703088706676434
environmental_only,PC3,0.09344240626064668,0.4637512769282901
environmental_only,PC4,0.08480034207667332,0.5485516190049634
environmental_only,PC5,0.07183607319669319,0.6203876922016566
environmental_only,PC6,0.05378164872078751,0.6741693409224441
environmental_only,PC7,0.04271423414510649,0.7168835750675505
environmental_only,PC8,0.03344721309251816,0.7503307881600687
environmental_only,PC9,0.029802737395931592,0.7801335255560004
environmental_only,PC10,0.02859481381062234,0.8087283393666227
environmental_only,PC11,0.026879696282911612,0.8356080356495343
environmental_only,PC12,0.024182758069858673,0.859790793719393
environmental_only,PC13,0.02051530113683593,0.880306094856229
environmental_only,PC14,0.016008377096183826,0.8963144719524129
environmental_only,PC15,0.015530443851140165,0.9118449158035531
environmental_only,PC16,0.01235248496502523,0.9241974007685784
environmental_only,PC17,0.01112742566606143,0.9353248264346398
environmental_only,PC18,0.010069458344832324,0.9453942847794721
environmental_only,PC19,0.008608346990292661,0.9540026317697647
environmental_only,PC20,0.007623705795636495,0.9616263375654013
