disease,perm_idx,perm_mean_auc
acute flare-up of triaditis/chronic enteropathy,1,0.4819145500131892
acute flare-up of triaditis/chronic enteropathy,2,0.4451782626282208
acute flare-up of triaditis/chronic enteropathy,3,0.5269324713748318
acute flare-up of triaditis/chronic enteropathy,4,0.4748819259033962
acute flare-up of triaditis/chronic enteropathy,5,0.5575994332474018
acute flare-up of triaditis/chronic enteropathy,6,0.47844250433092494
acute flare-up of triaditis/chronic enteropathy,7,0.5650902082932212
acute flare-up of triaditis/chronic enteropathy,8,0.5446802758911222
acute flare-up of triaditis/chronic enteropathy,9,0.5233715355922093
acute flare-up of triaditis/chronic enteropathy,10,0.5501091411363273
acute flare-up of triaditis/chronic enteropathy,11,0.44215825271144416
acute flare-up of triaditis/chronic enteropathy,12,0.519819340632175
acute flare-up of triaditis/chronic enteropathy,13,0.4845276269341685
acute flare-up of triaditis/chronic enteropathy,14,0.5944857152274486
acute flare-up of triaditis/chronic enteropathy,15,0.44053410225948453
acute flare-up of triaditis/chronic enteropathy,16,0.5691741006204989
acute flare-up of triaditis/chronic enteropathy,17,0.54964368033848
acute flare-up of triaditis/chronic enteropathy,18,0.5340948409042557
acute flare-up of triaditis/chronic enteropathy,19,0.5667102873445584
acute flare-up of triaditis/chronic enteropathy,20,0.459650472701147
acute flare-up of triaditis/chronic enteropathy,21,0.5202200732495739
acute flare-up of triaditis/chronic enteropathy,22,0.45013410912149154
acute flare-up of triaditis/chronic enteropathy,23,0.5426908265385644
acute flare-up of triaditis/chronic enteropathy,24,0.37529207584076985
acute flare-up of triaditis/chronic enteropathy,25,0.5598466140198142
acute flare-up of triaditis/chronic enteropathy,26,0.5275832048797263
acute flare-up of triaditis/chronic enteropathy,27,0.501181790734637
acute flare-up of triaditis/chronic enteropathy,28,0.5041046348515693
acute flare-up of triaditis/chronic enteropathy,29,0.5447300369423133
acute flare-up of triaditis/chronic enteropathy,30,0.48133651640898023
acute flare-up of triaditis/chronic enteropathy,31,0.4927280409545247
acute flare-up of triaditis/chronic enteropathy,32,0.3785246212612239
acute flare-up of triaditis/chronic enteropathy,33,0.50510853460136
acute flare-up of triaditis/chronic enteropathy,34,0.44234499647334796
acute flare-up of triaditis/chronic enteropathy,35,0.503773367153535
acute flare-up of triaditis/chronic enteropathy,36,0.4954898138034659
acute flare-up of triaditis/chronic enteropathy,37,0.40962217851869165
acute flare-up of triaditis/chronic enteropathy,38,0.518391931005966
acute flare-up of triaditis/chronic enteropathy,39,0.4999567804012159
acute flare-up of triaditis/chronic enteropathy,40,0.48079971939934624
acute flare-up of triaditis/chronic enteropathy,41,0.4009609986692559
acute flare-up of triaditis/chronic enteropathy,42,0.5121884177617998
acute flare-up of triaditis/chronic enteropathy,43,0.4644883770824258
acute flare-up of triaditis/chronic enteropathy,44,0.5389986302913481
acute flare-up of triaditis/chronic enteropathy,45,0.5044050531283559
acute flare-up of triaditis/chronic enteropathy,46,0.5284914713208135
acute flare-up of triaditis/chronic enteropathy,47,0.4295168214392655
acute flare-up of triaditis/chronic enteropathy,48,0.4934954258571297
acute flare-up of triaditis/chronic enteropathy,49,0.4783470918157368
acute flare-up of triaditis/chronic enteropathy,50,0.5823164418380159
acute flare-up of triaditis/chronic enteropathy,51,0.4340001825105613
acute flare-up of triaditis/chronic enteropathy,52,0.49665385481395363
acute flare-up of triaditis/chronic enteropathy,53,0.39964255429306533
acute flare-up of triaditis/chronic enteropathy,54,0.42913592913478915
acute flare-up of triaditis/chronic enteropathy,55,0.5236174989300129
acute flare-up of triaditis/chronic enteropathy,56,0.5077437538438185
acute flare-up of triaditis/chronic enteropathy,57,0.47506452616363254
acute flare-up of triaditis/chronic enteropathy,58,0.465109836423923
acute flare-up of triaditis/chronic enteropathy,59,0.5579655899815739
acute flare-up of triaditis/chronic enteropathy,60,0.606466269356295
acute flare-up of triaditis/chronic enteropathy,61,0.570950119955733
acute flare-up of triaditis/chronic enteropathy,62,0.5135716939508774
acute flare-up of triaditis/chronic enteropathy,63,0.3925746273514329
acute flare-up of triaditis/chronic enteropathy,64,0.3813375019707917
acute flare-up of triaditis/chronic enteropathy,65,0.5238787819619695
acute flare-up of triaditis/chronic enteropathy,66,0.5660022440732713
acute flare-up of triaditis/chronic enteropathy,67,0.4287887207179022
acute flare-up of triaditis/chronic enteropathy,68,0.4663336894927072
acute flare-up of triaditis/chronic enteropathy,69,0.487399676707151
acute flare-up of triaditis/chronic enteropathy,70,0.48020585495930346
acute flare-up of triaditis/chronic enteropathy,71,0.5354976385273985
acute flare-up of triaditis/chronic enteropathy,72,0.44668735158313966
acute flare-up of triaditis/chronic enteropathy,73,0.5697669954708845
acute flare-up of triaditis/chronic enteropathy,74,0.5005861657722124
acute flare-up of triaditis/chronic enteropathy,75,0.5265604729542677
acute flare-up of triaditis/chronic enteropathy,76,0.46335294299901086
acute flare-up of triaditis/chronic enteropathy,77,0.49377605845690953
acute flare-up of triaditis/chronic enteropathy,78,0.4528403035761192
acute flare-up of triaditis/chronic enteropathy,79,0.5208644150315808
acute flare-up of triaditis/chronic enteropathy,80,0.5637572478605755
acute flare-up of triaditis/chronic enteropathy,81,0.4715215787954611
acute flare-up of triaditis/chronic enteropathy,82,0.43337262551293626
acute flare-up of triaditis/chronic enteropathy,83,0.48115332388667065
acute flare-up of triaditis/chronic enteropathy,84,0.4504636444011119
acute flare-up of triaditis/chronic enteropathy,85,0.49186654506763955
acute flare-up of triaditis/chronic enteropathy,86,0.5339161598207052
acute flare-up of triaditis/chronic enteropathy,87,0.45266880845623303
acute flare-up of triaditis/chronic enteropathy,88,0.43311866538884114
acute flare-up of triaditis/chronic enteropathy,89,0.47306104891304823
acute flare-up of triaditis/chronic enteropathy,90,0.4587610072458734
acute flare-up of triaditis/chronic enteropathy,91,0.48681996535510486
acute flare-up of triaditis/chronic enteropathy,92,0.5561952029764017
acute flare-up of triaditis/chronic enteropathy,93,0.5309729216956478
acute flare-up of triaditis/chronic enteropathy,94,0.4566902044290755
acute flare-up of triaditis/chronic enteropathy,95,0.5383888213825925
acute flare-up of triaditis/chronic enteropathy,96,0.49278373001847947
acute flare-up of triaditis/chronic enteropathy,97,0.5903307740629973
acute flare-up of triaditis/chronic enteropathy,98,0.48680876955150243
acute flare-up of triaditis/chronic enteropathy,99,0.5682619697390644
acute flare-up of triaditis/chronic enteropathy,100,0.4994825691849517
acute flare-up of triaditis/chronic enteropathy,101,0.40782404861421995
acute flare-up of triaditis/chronic enteropathy,102,0.5412660909800904
acute flare-up of triaditis/chronic enteropathy,103,0.4821142038337852
acute flare-up of triaditis/chronic enteropathy,104,0.584803628433494
acute flare-up of triaditis/chronic enteropathy,105,0.5754229021666246
acute flare-up of triaditis/chronic enteropathy,106,0.4757775335329226
acute flare-up of triaditis/chronic enteropathy,107,0.5149973899862477
acute flare-up of triaditis/chronic enteropathy,108,0.42742136471483283
acute flare-up of triaditis/chronic enteropathy,109,0.47497153728934494
acute flare-up of triaditis/chronic enteropathy,110,0.43046466555248103
acute flare-up of triaditis/chronic enteropathy,111,0.4425797084475359
acute flare-up of triaditis/chronic enteropathy,112,0.5403062154514262
acute flare-up of triaditis/chronic enteropathy,113,0.5475665986811972
acute flare-up of triaditis/chronic enteropathy,114,0.48733818304412857
acute flare-up of triaditis/chronic enteropathy,115,0.4030137520340329
acute flare-up of triaditis/chronic enteropathy,116,0.5177573773170171
acute flare-up of triaditis/chronic enteropathy,117,0.5551303447358803
acute flare-up of triaditis/chronic enteropathy,118,0.5306278543323151
acute flare-up of triaditis/chronic enteropathy,119,0.5230245436824384
acute flare-up of triaditis/chronic enteropathy,120,0.5615851897778581
acute flare-up of triaditis/chronic enteropathy,121,0.4994330225068344
acute flare-up of triaditis/chronic enteropathy,122,0.5301209713326962
acute flare-up of triaditis/chronic enteropathy,123,0.4856028999440847
acute flare-up of triaditis/chronic enteropathy,124,0.4731757061885535
acute flare-up of triaditis/chronic enteropathy,125,0.5242014954536518
acute flare-up of triaditis/chronic enteropathy,126,0.5160869732593542
acute flare-up of triaditis/chronic enteropathy,127,0.5105455585868923
acute flare-up of triaditis/chronic enteropathy,128,0.5564139420521064
acute flare-up of triaditis/chronic enteropathy,129,0.49510725533170125
acute flare-up of triaditis/chronic enteropathy,130,0.5629711658596843
acute flare-up of triaditis/chronic enteropathy,131,0.5006314041683724
acute flare-up of triaditis/chronic enteropathy,132,0.5159306799135991
acute flare-up of triaditis/chronic enteropathy,133,0.4992289625295158
acute flare-up of triaditis/chronic enteropathy,134,0.4821089941582377
acute flare-up of triaditis/chronic enteropathy,135,0.665844362291159
acute flare-up of triaditis/chronic enteropathy,136,0.5141029669812159
acute flare-up of triaditis/chronic enteropathy,137,0.4324924006386972
acute flare-up of triaditis/chronic enteropathy,138,0.5480268439576836
acute flare-up of triaditis/chronic enteropathy,139,0.3665412522612704
