disease,feature_block,n_folds,n_fold_pairs,spearman_mean,spearman_std,jaccard_top10_mean,jaccard_top10_std,jaccard_top20_mean,jaccard_top20_std
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,10,0.6217412312487287,0.03855117272872565,0.5091575091575091,0.09699085278747498,0.7113833992094862,0.061155913984801843
acute flare-up of triaditis/chronic enteropathy,combined,5,10,0.5779857167535571,0.08749519884990799,0.35741758241758237,0.09679375994962594,0.5015710215710215,0.07641163609367489
acute flare-up of triaditis/chronic enteropathy,environmental_only,5,10,0.825566244915597,0.043596116126778856,0.44963369963369965,0.13006672165541516,0.5907791403443576,0.07929585422097239
acute gastroenteritis,clinical_only,5,10,0.576930530354948,0.0552359965714509,0.463003663003663,0.07111637732247889,0.5974458070110243,0.08287872024416092
acute gastroenteritis,combined,5,10,0.5266721455765575,0.08460238733312368,0.43003663003663,0.04844775293826518,0.40642779953124786,0.06834235710897081
acute gastroenteritis,environmental_only,5,10,0.846618745827034,0.04574446156484308,0.5805860805860806,0.09921339319408913,0.6372696868349043,0.09295433059010984
acute pancreatitis,clinical_only,5,10,0.6046142417056718,0.04778229184524459,0.4424908424908424,0.07632576198661929,0.6283389074693421,0.06575632263051988
acute pancreatitis,combined,5,10,0.41149090519333553,0.09268531041984107,0.35622710622710624,0.08747432043751938,0.3849318760998405,0.09628245738718628
acute pancreatitis,environmental_only,5,10,0.8430367281405466,0.02583290493773035,0.39725274725274723,0.1142148585962212,0.7041370223978919,0.06179266475265145
parvovirus enteritis,clinical_only,5,10,0.5571560951886927,0.0785035454771147,0.5344322344322344,0.11322375331229666,0.5478144078144078,0.07639498178172426
parvovirus enteritis,combined,5,10,0.4324296142406083,0.13469644040597423,0.5073260073260073,0.07820605753308853,0.4330944661979145,0.08631491738675204
parvovirus enteritis,environmental_only,5,10,0.8276124430572576,0.04667941806604443,0.40714285714285714,0.1178244035548929,0.5774458070110243,0.06949414835067085
