cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,1,12.5,1.1235955056179776
1,acute gastroenteritis,3,37.5,5.0
1,acute pancreatitis,1,12.5,0.8064516129032258
1,parvovirus enteritis,3,37.5,7.317073170731707
2,acute flare-up of triaditis/chronic enteropathy,13,25.49019607843137,14.606741573033707
2,acute gastroenteritis,28,54.90196078431373,46.666666666666664
2,acute pancreatitis,7,13.725490196078432,5.64516129032258
2,parvovirus enteritis,3,5.88235294117647,7.317073170731707
3,acute flare-up of triaditis/chronic enteropathy,7,36.84210526315789,7.865168539325842
3,acute gastroenteritis,1,5.263157894736842,1.6666666666666667
3,acute pancreatitis,5,26.31578947368421,4.032258064516129
3,parvovirus enteritis,6,31.57894736842105,14.634146341463413
4,acute flare-up of triaditis/chronic enteropathy,9,30.0,10.112359550561797
4,acute gastroenteritis,3,10.0,5.0
4,acute pancreatitis,17,56.666666666666664,13.709677419354838
4,parvovirus enteritis,1,3.3333333333333335,2.4390243902439024
5,acute flare-up of triaditis/chronic enteropathy,28,33.734939759036145,31.46067415730337
5,acute gastroenteritis,10,12.048192771084338,16.666666666666664
5,acute pancreatitis,42,50.602409638554214,33.87096774193548
5,parvovirus enteritis,3,3.614457831325301,7.317073170731707
6,acute flare-up of triaditis/chronic enteropathy,31,25.203252032520325,34.831460674157306
6,acute gastroenteritis,15,12.195121951219512,25.0
6,acute pancreatitis,52,42.27642276422765,41.935483870967744
6,parvovirus enteritis,25,20.32520325203252,60.97560975609756
