cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,14,24.561403508771928,15.730337078651685
1,acute gastroenteritis,30,52.63157894736842,50.0
1,acute pancreatitis,7,12.280701754385964,5.64516129032258
1,parvovirus enteritis,6,10.526315789473683,14.634146341463413
2,acute flare-up of triaditis/chronic enteropathy,6,42.857142857142854,6.741573033707865
2,acute gastroenteritis,2,14.285714285714285,3.3333333333333335
2,acute pancreatitis,6,42.857142857142854,4.838709677419355
2,parvovirus enteritis,0,0.0,0.0
3,acute flare-up of triaditis/chronic enteropathy,4,21.052631578947366,4.49438202247191
3,acute gastroenteritis,1,5.263157894736842,1.6666666666666667
3,acute pancreatitis,10,52.63157894736842,8.064516129032258
3,parvovirus enteritis,4,21.052631578947366,9.75609756097561
4,acute flare-up of triaditis/chronic enteropathy,33,31.132075471698112,37.07865168539326
4,acute gastroenteritis,13,12.264150943396226,21.666666666666668
4,acute pancreatitis,56,52.83018867924528,45.16129032258064
4,parvovirus enteritis,4,3.7735849056603774,9.75609756097561
5,acute flare-up of triaditis/chronic enteropathy,8,34.78260869565217,8.98876404494382
5,acute gastroenteritis,2,8.695652173913043,3.3333333333333335
5,acute pancreatitis,7,30.434782608695656,5.64516129032258
5,parvovirus enteritis,6,26.08695652173913,14.634146341463413
6,acute flare-up of triaditis/chronic enteropathy,24,25.263157894736842,26.96629213483146
6,acute gastroenteritis,12,12.631578947368421,20.0
6,acute pancreatitis,38,40.0,30.64516129032258
6,parvovirus enteritis,21,22.105263157894736,51.21951219512195
