block,pc,rank,feature,loading_signed,loading_abs
clinical_only,PC1,1,K value__missing,0.2945865207623096,0.2945865207623096
clinical_only,PC1,2,Na value__missing,0.2945865207623096,0.2945865207623096
clinical_only,PC1,3,Cl value__missing,0.29319278404651017,0.29319278404651017
clinical_only,PC1,4,CREA concentration __missing,0.2916954316436606,0.2916954316436606
clinical_only,PC1,5,Initial total protein concentration (in g/l)__missing,0.2916401663894136,0.2916401663894136
clinical_only,PC1,6,initial hematocrit__missing,0.29136860171319406,0.29136860171319406
clinical_only,PC1,7,BUN concentration__missing,0.28968671439762284,0.28968671439762284
clinical_only,PC1,8,leukocyte count__missing,0.2881857284672217,0.2881857284672217
clinical_only,PC1,9,Albumin concentration (in g/l)__missing,0.28816257568384973,0.28816257568384973
clinical_only,PC1,10,neutrophil count (x 10^9/L)__missing,0.2860670801889488,0.2860670801889488
clinical_only,PC1,11,lymphocyte count__missing,0.2860670801889488,0.2860670801889488
clinical_only,PC1,12,hospitalization time (days)__missing,0.17634959649903725,0.17634959649903725
clinical_only,PC1,13,Cl value,0.08512345395478106,0.08512345395478106
clinical_only,PC1,14,body weight__missing,0.08046205562492106,0.08046205562492106
clinical_only,PC1,15,hospitalization time (days),-0.07468521492289304,0.07468521492289304
clinical_only,PC1,16,neutrophil count (x 10^9/L),-0.07231149162898938,0.07231149162898938
clinical_only,PC1,17,leukocyte count,-0.06831470513791987,0.06831470513791987
clinical_only,PC1,18,Na value,0.06503751167881962,0.06503751167881962
clinical_only,PC1,19,initial hematocrit,-0.051130395144734955,0.051130395144734955
clinical_only,PC1,20,body weight,-0.04634708106314419,0.04634708106314419
clinical_only,PC2,1,leukocyte count,0.43924225276390916,0.43924225276390916
clinical_only,PC2,2,neutrophil count (x 10^9/L),0.41181818632557904,0.41181818632557904
clinical_only,PC2,3,Cl value,-0.3632585155192393,0.3632585155192393
clinical_only,PC2,4,BUN concentration,0.33508619984508053,0.33508619984508053
clinical_only,PC2,5,Albumin concentration (in g/l),0.30020275245567474,0.30020275245567474
clinical_only,PC2,6,Initial total protein concentration (in g/l),0.28721167884419185,0.28721167884419185
clinical_only,PC2,7,Na value,-0.27228420336256065,0.27228420336256065
clinical_only,PC2,8,CREA concentration ,0.23230043690157573,0.23230043690157573
clinical_only,PC2,9,lymphocyte count,0.2090545569636046,0.2090545569636046
