block,pc,rank,feature,loading_signed,loading_abs
combined,PC1,1,Na value__missing,0.27109694288150177,0.27109694288150177
combined,PC1,2,K value__missing,0.27109694288150177,0.27109694288150177
combined,PC1,3,Cl value__missing,0.26931404012602267,0.26931404012602267
combined,PC1,4,initial hematocrit__missing,0.2683440030988961,0.2683440030988961
combined,PC1,5,Initial total protein concentration (in g/l)__missing,0.2680449326800933,0.2680449326800933
combined,PC1,6,leukocyte count__missing,0.2662227432869594,0.2662227432869594
combined,PC1,7,CREA concentration __missing,0.26482176128882157,0.26482176128882157
combined,PC1,8,BUN concentration__missing,0.2648146764672611,0.2648146764672611
combined,PC1,9,Albumin concentration (in g/l)__missing,0.26480426580857275,0.26480426580857275
combined,PC1,10,lymphocyte count__missing,0.2633429713189831,0.2633429713189831
combined,PC1,11,neutrophil count (x 10^9/L)__missing,0.2633429713189831,0.2633429713189831
combined,PC1,12,hospitalization time (days)__missing,0.16439986369999268,0.16439986369999268
combined,PC1,13,precipitation_hours__mean_13d,0.12990347799824864,0.12990347799824864
combined,PC1,14,precipitation_hours__mean_7d,0.1272723515973103,0.1272723515973103
combined,PC1,15,precipitation_sum__mean_13d,0.12472511467065421,0.12472511467065421
combined,PC1,16,precipitation_sum__mean_7d,0.12155539138408175,0.12155539138408175
combined,PC1,17,precipitation_hours__peak_7d,0.10719989397427851,0.10719989397427851
combined,PC1,18,precipitation_hours__peak_14d,0.10613814605973651,0.10613814605973651
combined,PC1,19,precipitation_hours__mean_2d,0.10501851842710372,0.10501851842710372
combined,PC1,20,precipitation_sum__peak_14d,0.09493182422562876,0.09493182422562876
combined,PC2,1,precipitation_hours__mean_7d,0.2890715548356763,0.2890715548356763
combined,PC2,2,precipitation_hours__mean_13d,0.2622643049383815,0.2622643049383815
combined,PC2,3,precipitation_hours__peak_7d,0.25912925384178803,0.25912925384178803
combined,PC2,4,precipitation_hours__mean_2d,0.2514074523231438,0.2514074523231438
combined,PC2,5,precipitation_sum__mean_7d,0.2323603008718903,0.2323603008718903
combined,PC2,6,precipitation_hours__day1,0.21889330918230904,0.21889330918230904
combined,PC2,7,precipitation_sum__mean_13d,0.20009724694921222,0.20009724694921222
combined,PC2,8,precipitation_hours__peak_14d,0.19480522491678615,0.19480522491678615
combined,PC2,9,wind_gusts_10m_max__mean_13d,0.17593796324392763,0.17593796324392763
combined,PC2,10,precipitation_sum__mean_2d,0.17386505999670282,0.17386505999670282
combined,PC2,11,wind_gusts_10m_max__mean_7d,0.1724696400608058,0.1724696400608058
combined,PC2,12,snowfall_sum__mean_7d,0.1717356074604729,0.1717356074604729
combined,PC2,13,surface_pressure_max__mean_13d,-0.17095530586625346,0.17095530586625346
combined,PC2,14,snowfall_sum__mean_13d,0.16073714312142584,0.16073714312142584
combined,PC2,15,surface_pressure_max__day1,-0.15757993664972,0.15757993664972
combined,PC2,16,wind_gusts_10m_max__peak_14d,0.1540660019173732,0.1540660019173732
combined,PC2,17,snowfall_sum__mean_3d,0.15000956387750242,0.15000956387750242
combined,PC2,18,precipitation_sum__day1,0.14448367006213989,0.14448367006213989
combined,PC2,19,snowfall_sum__mean_2d,0.14284028929346837,0.14284028929346837
combined,PC2,20,wind_gusts_10m_max__day1,0.1376594029650851,0.1376594029650851
