block,component,explained_variance_ratio,cumulative_variance_ratio
environmental_only,PC1,0.23569532762765008,0.23569532762765008
environmental_only,PC2,0.13488654433366198,0.3705818719613121
environmental_only,PC3,0.09348481180694293,0.464066683768255
environmental_only,PC4,0.08474890566925097,0.548815589437506
environmental_only,PC5,0.07165534003623626,0.6204709294737423
environmental_only,PC6,0.05382433460425483,0.6742952640779971
environmental_only,PC7,0.0427550634638066,0.7170503275418038
environmental_only,PC8,0.03347402822394441,0.7505243557657482
environmental_only,PC9,0.029812714011642687,0.7803370697773908
environmental_only,PC10,0.0286373166957268,0.8089743864731176
environmental_only,PC11,0.02688428627588038,0.8358586727489979
environmental_only,PC12,0.024203493310522125,0.86006216605952
environmental_only,PC13,0.020534010978952605,0.8805961770384726
environmental_only,PC14,0.01592160798358626,0.8965177850220588
environmental_only,PC15,0.015532629608571958,0.9120504146306307
environmental_only,PC16,0.012361291007229151,0.9244117056378599
environmental_only,PC17,0.011093275126695229,0.9355049807645551
environmental_only,PC18,0.010062401993093122,0.9455673827576483
environmental_only,PC19,0.00861191561701203,0.9541792983746603
environmental_only,PC20,0.007629335854710625,0.9618086342293709
